"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol91","DTL",51514,"DTL","ENSG00000143476"
"gene_symbol92","TMEM225B",100289187,"TMEM225B","ENSG00000244219"
"gene_symbol93","ARHGAP4",393,"ARHGAP4","ENSG00000089820"
"gene_symbol94","AKR1C3",8644,"AKR1C3","ENSG00000196139"
"gene_symbol95","AL109924.1",101929460,"LOC101929460","ENSG00000229720"
"gene_symbol96","SLC25A31",83447,"SLC25A31","ENSG00000151475"
"gene_symbol97","CCDC189",90835,"CFAP119","ENSG00000196118"
"gene_symbol98","ZCCHC10",54819,"ZCCHC10","ENSG00000155329"
"gene_symbol99","MIR7973-1",102466250,"MIR7973-1","ENSG00000278098"
"gene_symbol100","ITGA1",3672,"ITGA1","ENSG00000213949"
"gene_symbol101","SECISBP2L",9728,"SECISBP2L","ENSG00000138593"
"gene_symbol102","MED25",81857,"MED25","ENSG00000104973"
"gene_symbol103","MIR6513",102465256,"MIR6513","ENSG00000284173"
"gene_symbol104","HHATL-AS1",100874044,"HHATL-AS1","ENSG00000230970"
"gene_symbol105","MYOC",4653,"MYOC","ENSG00000034971"
"gene_symbol106","TRIM13",10206,"TRIM13","ENSG00000204977"
"gene_symbol107","ZNF70",7621,"ZNF70","ENSG00000187792"
"gene_symbol108","TRIM4",89122,"TRIM4","ENSG00000146833"
"gene_symbol109","SCAP",22937,"SCAP","ENSG00000114650"
"gene_symbol110","MSANTD4",84437,"MSANTD4","ENSG00000170903"
"gene_symbol111","SIGLEC12",89858,"SIGLEC12","ENSG00000254521"
"gene_symbol112","C2orf92",728537,"C2orf92","ENSG00000228486"
"gene_symbol113","CT47A7",653282,"CT47A7","ENSG00000228517"
"gene_symbol114","SNX8",29886,"SNX8","ENSG00000106266"
"gene_symbol115","LINC00459",100874180,"LINC00459","ENSG00000229307"
"gene_symbol116","LETM1",3954,"LETM1","ENSG00000168924"
"gene_symbol117","FBXO39",162517,"FBXO39","ENSG00000177294"
"gene_symbol118","ERV3-1",2086,"ERV3-1","ENSG00000213462"
"gene_symbol119","SRC",6714,"SRC","ENSG00000197122"
"gene_symbol120","DEFB131A",644414,"DEFB131A","ENSG00000186146"
"gene_symbol121","VAT1",10493,"VAT1","ENSG00000108828"
"gene_symbol122","RASD2",23551,"RASD2","ENSG00000100302"
"gene_symbol123","HDAC7",51564,"HDAC7","ENSG00000061273"
"gene_symbol124","WNK3",65267,"WNK3","ENSG00000196632"
"gene_symbol125","PRDM8",56978,"PRDM8","ENSG00000152784"
"gene_symbol126","DNAH7",56171,"DNAH7","ENSG00000118997"
"gene_symbol127","OR4A16",81327,"OR4A16","ENSG00000181961"
"gene_symbol128","VAMP4",8674,"VAMP4","ENSG00000117533"
"gene_symbol129","DNHD1",144132,"DNHD1","ENSG00000179532"
"gene_symbol130","ZFY-AS1",107987337,"ZFY-AS1","ENSG00000233070"
"gene_symbol131","MIR4723",100616388,"MIR4723","ENSG00000284532"
"gene_symbol132","BNIP3",664,"BNIP3","ENSG00000176171"
"gene_symbol133","RBM46",166863,"RBM46","ENSG00000151962"
