"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol1638","EARS2",124454,"EARS2","ENSG00000103356"
"gene_symbol1639","E2F4",1874,"E2F4","ENSG00000205250"
"gene_symbol1640","SSH2",85464,"SSH2","ENSG00000141298"
"gene_symbol1641","MCC",4163,"MCC","ENSG00000171444"
"gene_symbol1642","SLC25A25",114789,"SLC25A25","ENSG00000148339"
"gene_symbol1643","ID4",3400,"ID4","ENSG00000172201"
"gene_symbol1644","GPRIN2",9721,"GPRIN2","ENSG00000204175"
"gene_symbol1645","CCL22",6367,"CCL22","ENSG00000102962"
"gene_symbol1646","DEGS2",123099,"DEGS2","ENSG00000168350"
"gene_symbol1647","LHFPL4",375323,"LHFPL4","ENSG00000156959"
"gene_symbol1648","RRP1",8568,"RRP1","ENSG00000160214"
"gene_symbol1649","RGL4",266747,"RGL4","ENSG00000159496"
"gene_symbol1650","ADAM22",53616,"ADAM22","ENSG00000008277"
"gene_symbol1651","TRIM21",6737,"TRIM21","ENSG00000132109"
"gene_symbol1652","TRAM2-AS1",401264,"TRAM2-AS1","ENSG00000225791"
"gene_symbol1653","KNSTRN",90417,"KNSTRN","ENSG00000128944"
"gene_symbol1654","IRF2BP1",26145,"IRF2BP1","ENSG00000170604"
"gene_symbol1655","LINC01019",285577,"LINC01019","ENSG00000248118"
"gene_symbol1656","MIR638",693223,"MIR638","ENSG00000207972"
"gene_symbol1657","RCE1",9986,"RCE1","ENSG00000173653"
"gene_symbol1658","TBC1D8",11138,"TBC1D8","ENSG00000204634"
"gene_symbol1659","AP4E1",23431,"AP4E1","ENSG00000081014"
"gene_symbol1660","RER1",11079,"RER1","ENSG00000157916"
"gene_symbol1661","HMGN5",79366,"HMGN5","ENSG00000198157"
"gene_symbol1662","PTPN13",5783,"PTPN13","ENSG00000163629"
"gene_symbol1663","MIR4660",100616350,"MIR4660","ENSG00000263407"
"gene_symbol1664","POU3F3",5455,"POU3F3","ENSG00000198914"
"gene_symbol1665","HAS1",3036,"HAS1","ENSG00000105509"
"gene_symbol1666","VENTXP1",139538,"VENTXP1","ENSG00000259849"
"gene_symbol1667","VMO1",284013,"VMO1","ENSG00000182853"
"gene_symbol1668","HDC",3067,"HDC","ENSG00000140287"
"gene_symbol1669","LINC00863",439994,"LINC00863","ENSG00000224914"
"gene_symbol1670","SLC50A1",55974,"SLC50A1","ENSG00000169241"
"gene_symbol1671","SERPINA13P",388007,"SERPINA13P","ENSG00000187483"
"gene_symbol1672","PRANCR",101928062,"PRANCR","ENSG00000257815"
"gene_symbol1673","MOB3A",126308,"MOB3A","ENSG00000172081"
"gene_symbol1674","CXCL11",6373,"CXCL11","ENSG00000169248"
"gene_symbol1675","LINC00525",84847,"LINC00525","ENSG00000146666"
"gene_symbol1676","ZNF483",158399,"ZNF483","ENSG00000173258"
"gene_symbol1677","PRELID2",153768,"PRELID2","ENSG00000186314"
"gene_symbol1678","CAVIN1",284119,"CAVIN1","ENSG00000177469"
"gene_symbol1679","ASAP2",8853,"ASAP2","ENSG00000151693"
"gene_symbol1680","AACSP1",729522,"AACSP1","ENSG00000250420"
"gene_symbol1681","TMED8",283578,"TMED8","ENSG00000100580"
"gene_symbol1682","ENTPD1",953,"ENTPD1","ENSG00000138185"
"gene_symbol1683","VCX3A",51481,"VCX3A","ENSG00000169059"
"gene_symbol1684","MCM2",4171,"MCM2","ENSG00000073111"
"gene_symbol1685","LINC02337",105370369,"LINC02337","ENSG00000215881"
"gene_symbol1686","TNPO3",23534,"TNPO3","ENSG00000064419"
"gene_symbol1687","CYCSP52",360155,"CYCSP52","ENSG00000235700"
"gene_symbol1688","MIR6737",102465441,"MIR6737","ENSG00000276584"
"gene_symbol1689","MIRLET7F2",406889,"MIRLET7F2","ENSG00000208012"
"gene_symbol1690","FZD5",7855,"FZD5","ENSG00000163251"
"gene_symbol1691","LINS1",55180,"LINS1","ENSG00000140471"
"gene_symbol1692","ZSCAN31",64288,"ZSCAN31","ENSG00000235109"
"gene_symbol1693","HPRT1",3251,"HPRT1","ENSG00000165704"
"gene_symbol1694","ZNF702P",79986,"ZNF702P","ENSG00000242779"
"gene_symbol1695","MAGI1",9223,"MAGI1","ENSG00000151276"
"gene_symbol1696","CELA2A",63036,"CELA2A","ENSG00000142615"
"gene_symbol1697","HERC2P3",283755,"HERC2P3","ENSG00000180229"
"gene_symbol1698","MIR6511B2",102465985,"MIR6511B2","ENSG00000283346"
"gene_symbol1699","NUTM2G",441457,"NUTM2G","ENSG00000188152"
"gene_symbol1700","MIR3182",100422853,"MIR3182","ENSG00000263785"
"gene_symbol1701","SCLY",51540,"SCLY","ENSG00000132330"
"gene_symbol1702","PTP4A1",7803,"PTP4A1","ENSG00000112245"
"gene_symbol1703","AC044802.1",106699570,"DYNC1LI2-DT","ENSG00000246777"
"gene_symbol1704","CFAP299",255119,"CFAP299","ENSG00000197826"
"gene_symbol1705","TEPP",374739,"TEPP","ENSG00000159648"
"gene_symbol1706","ANKDD1B",728780,"ANKDD1B","ENSG00000189045"
"gene_symbol1707","COL18A1",80781,"COL18A1","ENSG00000182871"
"gene_symbol1708","RPL36",25873,"RPL36","ENSG00000130255"
"gene_symbol1709","TRAPPC9",83696,"TRAPPC9","ENSG00000167632"
"gene_symbol1710","LIX1L",128077,"LIX1L","ENSG00000271601"
"gene_symbol1711","B4GALT1",2683,"B4GALT1","ENSG00000086062"
"gene_symbol1712","LINC00205",642852,"LINC00205","ENSG00000223768"
"gene_symbol1713","VASP",7408,"VASP","ENSG00000125753"
"gene_symbol1714","MAGEA4",4103,"MAGEA4","ENSG00000147381"
"gene_symbol1715","GPM6B",2824,"GPM6B","ENSG00000046653"
"gene_symbol1716","DAZ1",1617,"DAZ1","ENSG00000188120"
"gene_symbol1717","RPF1",80135,"RPF1","ENSG00000117133"
"gene_symbol1718","TMEM274P",113391335,"TMEM274P","ENSG00000283611"
"gene_symbol1719","ASGR2",433,"ASGR2","ENSG00000161944"
"gene_symbol1720","LRRC75A",388341,"LRRC75A","ENSG00000181350"
"gene_symbol1721","MIR548F3",100302159,"MIR548F3","ENSG00000221436"
"gene_symbol1722","MIR4518",100616405,"MIR4518","ENSG00000266305"
"gene_symbol1723","MIR4666B",100847047,"MIR4666B","ENSG00000264090"
"gene_symbol1724","SLC35G4",646000,"SLC35G4","ENSG00000236396"
"gene_symbol1725","GCOM1",145781,"GCOM1","ENSG00000137878"
"gene_symbol1726","KIF4A",24137,"KIF4A","ENSG00000090889"
"gene_symbol1727","ARNT",405,"ARNT","ENSG00000143437"
"gene_symbol1728","PGM5P4-AS1",103344932,"PGM5P4-AS1","ENSG00000231943"
"gene_symbol1729","HRK",8739,"HRK","ENSG00000135116"
"gene_symbol1730","CD53",963,"CD53","ENSG00000143119"
"gene_symbol1731","AC112504.3",105374134,"LOC105374134","ENSG00000286822"
"gene_symbol1732","ASF1A",25842,"ASF1A","ENSG00000111875"
"gene_symbol1733","MROH6",642475,"MROH6","ENSG00000204839"
"gene_symbol1734","AC112206.2",101928858,"LINC02997","ENSG00000249364"
"gene_symbol1735","SARM1",23098,"SARM1","ENSG00000004139"
"gene_symbol1736","RING1",6015,"RING1","ENSG00000204227"
"gene_symbol1737","TMEM202",338949,"TMEM202","ENSG00000187806"
"gene_symbol1738","OR4F17",81099,"OR4F17","ENSG00000176695"
"gene_symbol1739","TJAP1",93643,"TJAP1","ENSG00000137221"
"gene_symbol1740","MIR3689F",100616212,"MIR3689F","ENSG00000266514"
"gene_symbol1741","OR5F1",338674,"OR5F1","ENSG00000149133"
"gene_symbol1742","ZFYVE1",53349,"ZFYVE1","ENSG00000165861"
"gene_symbol1743","PAQR7",164091,"PAQR7","ENSG00000182749"
"gene_symbol1744","CCDC186",55088,"CCDC186","ENSG00000165813"
"gene_symbol1745","CTSF",8722,"CTSF","ENSG00000174080"
"gene_symbol1746","BLM",641,"BLM","ENSG00000197299"
"gene_symbol1747","IGLL5",100423062,"IGLL5","ENSG00000254709"
"gene_symbol1748","FXYD2",486,"FXYD2","ENSG00000137731"
"gene_symbol1749","CCNB1IP1",57820,"CCNB1IP1","ENSG00000100814"
"gene_symbol1750","AC002378.1",105372988,"LOC105372988","ENSG00000225676"
"gene_symbol1751","LINC01192",647107,"LINC01192","ENSG00000241369"
"gene_symbol1752","NPTXR",23467,"NPTXR","ENSG00000221890"
"gene_symbol1753","TNFRSF9",3604,"TNFRSF9","ENSG00000049249"
"gene_symbol1754","TNKS2-AS1",100507633,"TNKS2-DT","ENSG00000228701"
"gene_symbol1755","BUD13",84811,"BUD13","ENSG00000137656"
"gene_symbol1756","MIR515-2",574465,"MIR515-2","ENSG00000207615"
"gene_symbol1757","CLCN5",1184,"CLCN5","ENSG00000171365"
"gene_symbol1758","SPDEF",25803,"SPDEF","ENSG00000124664"
"gene_symbol1759","C12orf71",728858,"C12orf71","ENSG00000214700"
"gene_symbol1760","NR4A2",4929,"NR4A2","ENSG00000153234"
"gene_symbol1761","AC110741.1",101927822,"LOC101927822","ENSG00000253593"
"gene_symbol1762","TEX43",389320,"TEX43","ENSG00000196900"
"gene_symbol1763","ZNF45",7596,"ZNF45","ENSG00000124459"
"gene_symbol1764","TP73",7161,"TP73","ENSG00000078900"
"gene_symbol1765","PTPRA",5786,"PTPRA","ENSG00000132670"
"gene_symbol1766","MOBP",4336,"MOBP","ENSG00000168314"
"gene_symbol1767","TNFRSF10A",8797,"TNFRSF10A","ENSG00000104689"
"gene_symbol1768","LRIG1",26018,"LRIG1","ENSG00000144749"
"gene_symbol1769","BCL11A",53335,"BCL11A","ENSG00000119866"
"gene_symbol1770","SLFN13",146857,"SLFN13","ENSG00000154760"
"gene_symbol1771","MIR6826",102465496,"MIR6826","ENSG00000278658"
"gene_symbol1772","NMNAT1",64802,"NMNAT1","ENSG00000173614"
"gene_symbol1773","TLR7",51284,"TLR7","ENSG00000196664"
"gene_symbol1774","LINC02670",101928298,"LINC02670","ENSG00000224788"
"gene_symbol1775","ZNF100",163227,"ZNF100","ENSG00000197020"
"gene_symbol1776","ZC3H11A",9877,"ZC3H11A","ENSG00000058673"
"gene_symbol1777","G6PC3",92579,"G6PC3","ENSG00000141349"
"gene_symbol1778","ZNF451",26036,"ZNF451","ENSG00000112200"
"gene_symbol1779","AC009597.1",105375851,"LOC105375851","ENSG00000254055"
"gene_symbol1780","MEF2A",4205,"MEF2A","ENSG00000068305"
"gene_symbol1781","FBXO10",26267,"FBXO10","ENSG00000147912"
"gene_symbol1782","NT5C",30833,"NT5C","ENSG00000125458"
"gene_symbol1783","PGRMC2",10424,"PGRMC2","ENSG00000164040"
"gene_symbol1784","NPM2",10361,"NPM2","ENSG00000158806"
"gene_symbol1785","IL21-AS1",100996941,"IL21-AS1","ENSG00000227145"
"gene_symbol1786","ALKBH2",121642,"ALKBH2","ENSG00000189046"
"gene_symbol1787","KRTAP6-1",337966,"KRTAP6-1","ENSG00000184724"
"gene_symbol1788","MIR4633",100616175,"MIR4633","ENSG00000264563"
"gene_symbol1789","GOLGA8M",653720,"GOLGA8M","ENSG00000188626"
"gene_symbol1790","CYB5D2",124936,"CYB5D2","ENSG00000167740"
"gene_symbol1791","NRM",11270,"NRM","ENSG00000137404"
"gene_symbol1792","MAP10",54627,"MAP10","ENSG00000212916"
"gene_symbol1793","PPP2R2A",5520,"PPP2R2A","ENSG00000221914"
"gene_symbol1794","LRRC36",55282,"LRRC36","ENSG00000159708"
"gene_symbol1795","TCTN2",79867,"TCTN2","ENSG00000168778"
"gene_symbol1796","EXOSC2",23404,"EXOSC2","ENSG00000130713"
"gene_symbol1797","GKN1",56287,"GKN1","ENSG00000169605"
"gene_symbol1798","ZNF844",284391,"ZNF844","ENSG00000223547"
"gene_symbol1799","HS3ST1",9957,"HS3ST1","ENSG00000002587"
"gene_symbol1800","MIR4774",100616356,"MIR4774","ENSG00000265694"
"gene_symbol1801","KARS1",3735,"KARS1","ENSG00000065427"
"gene_symbol1802","TRMT12",55039,"TRMT12","ENSG00000183665"
"gene_symbol1803","LINC01907",151475,"LINC01907","ENSG00000226125"
"gene_symbol1804","DENND2D",79961,"DENND2D","ENSG00000162777"
"gene_symbol1805","RILP",83547,"RILP","ENSG00000167705"
"gene_symbol1806","APH1A",51107,"APH1A","ENSG00000117362"
"gene_symbol1807","CNTNAP4",85445,"CNTNAP4","ENSG00000152910"
"gene_symbol1808","MTFR2",113115,"MTFR2","ENSG00000146410"
"gene_symbol1809","HSD11B1L",374875,"HSD11B1L","ENSG00000167733"
"gene_symbol1810","LINC02301",101928599,"LINC02301","ENSG00000258743"
"gene_symbol1811","AC009468.1",105375283,"GS1-278J22.2","ENSG00000228627"
"gene_symbol1812","DCPS",28960,"DCPS","ENSG00000110063"
"gene_symbol1813","CPPED1",55313,"CPPED1","ENSG00000103381"
"gene_symbol1814","ABCC12",94160,"ABCC12","ENSG00000140798"
"gene_symbol1815","FKBP15",23307,"FKBP15","ENSG00000119321"
"gene_symbol1816","SNORD115-27",100036564,"SNORD115-27","ENSG00000201300"
"gene_symbol1817","TIPRL",261726,"TIPRL","ENSG00000143155"
"gene_symbol1818","OAZ1",4946,"OAZ1","ENSG00000104904"
"gene_symbol1819","ACTN1-AS1",161159,"ACTN1-DT","ENSG00000259062"
"gene_symbol1820","LINCADL",107986443,"LINCADL","ENSG00000287148"
"gene_symbol1821","METTL18",92342,"METTL18","ENSG00000171806"
"gene_symbol1822","FBXW8",26259,"FBXW8","ENSG00000174989"
"gene_symbol1823","MICB",4277,"MICB","ENSG00000204516"
"gene_symbol1824","DPY19L2P2",349152,"DPY19L2P2","ENSG00000170629"
"gene_symbol1825","CCT8",10694,"CCT8","ENSG00000156261"
"gene_symbol1826","CPLX3",594855,"CPLX3","ENSG00000213578"
"gene_symbol1827","GPR156",165829,"GPR156","ENSG00000175697"
"gene_symbol1828","ABCA8",10351,"ABCA8","ENSG00000141338"
"gene_symbol1829","YJU2",55702,"YJU2","ENSG00000105248"
"gene_symbol1830","AADACL2",344752,"AADACL2","ENSG00000197953"
"gene_symbol1831","GPR119",139760,"GPR119","ENSG00000147262"
"gene_symbol1832","OR5R1",219479,"OR8U3","ENSG00000279961"
"gene_symbol1833","THRAP3",9967,"THRAP3","ENSG00000054118"
"gene_symbol1834","ALDOB",229,"ALDOB","ENSG00000136872"
"gene_symbol1835","MIR6870",102465525,"MIR6870","ENSG00000273745"
"gene_symbol1836","AC099792.1",101926964,"LOC101926964","ENSG00000231252"
"gene_symbol1837","RPS23",6228,"RPS23","ENSG00000186468"
"gene_symbol1838","MMRN1",22915,"MMRN1","ENSG00000138722"
"gene_symbol1839","RBM38",55544,"RBM38","ENSG00000132819"
"gene_symbol1840","MIR124-1HG",157627,"MIR124-1HG","ENSG00000253230"
"gene_symbol1841","CH25H",9023,"CH25H","ENSG00000138135"
"gene_symbol1842","ERO1B",56605,"ERO1B","ENSG00000086619"
"gene_symbol1843","WTIP",126374,"WTIP","ENSG00000142279"
"gene_symbol1844","TIMP3",7078,"TIMP3","ENSG00000100234"
"gene_symbol1845","HBZ",3050,"HBZ","ENSG00000130656"
"gene_symbol1846","EN1",2019,"EN1","ENSG00000163064"
"gene_symbol1847","OR7G2",390882,"OR7G2","ENSG00000170923"
"gene_symbol1848","AHSP",51327,"AHSP","ENSG00000169877"
"gene_symbol1849","RIPOR1",79567,"RIPOR1","ENSG00000039523"
"gene_symbol1850","LINC02245",400958,"LINC02245","ENSG00000237638"
"gene_symbol1851","PCLAF",9768,"PCLAF","ENSG00000166803"
"gene_symbol1852","LIN54",132660,"LIN54","ENSG00000189308"
"gene_symbol1853","PPP4R3C",139420,"PPP4R3C","ENSG00000224960"
"gene_symbol1854","AL109924.2",102724357,"LOC102724357","ENSG00000234519"
"gene_symbol1855","HACD4",401494,"HACD4","ENSG00000188921"
"gene_symbol1856","HNRNPH3",3189,"HNRNPH3","ENSG00000096746"
"gene_symbol1857","ISM1",140862,"ISM1","ENSG00000101230"
"gene_symbol1858","SLC27A3",11000,"SLC27A3","ENSG00000143554"
"gene_symbol1859","MIR613",693198,"MIR613","ENSG00000207983"
"gene_symbol1860","MIR6889",102466758,"MIR6889","ENSG00000274552"
"gene_symbol1861","TATDN1",83940,"TATDN1","ENSG00000147687"
"gene_symbol1862","ACRBP",84519,"ACRBP","ENSG00000111644"
"gene_symbol1863","LRRC24",441381,"LRRC24","ENSG00000254402"
"gene_symbol1864","UPRT",139596,"UPRT","ENSG00000094841"
"gene_symbol1865","LINC02509",105377556,"LINC02509","ENSG00000250263"
"gene_symbol1866","ANKRD40CL",55018,"ANKRD40CL","ENSG00000167117"
"gene_symbol1867","SNORA68",26780,"SNORA68","ENSG00000207166"
"gene_symbol1868","CACNA2D2",9254,"CACNA2D2","ENSG00000007402"
"gene_symbol1869","SPEGNB",100996693,"SPEGNB","ENSG00000286095"
"gene_symbol1870","FAM225B",100128385,"FAM225B","ENSG00000225684"
"gene_symbol1871","GLIPR1L2",144321,"GLIPR1L2","ENSG00000180481"
"gene_symbol1872","OR10P1",121130,"OR10P1","ENSG00000175398"
"gene_symbol1873","TASOR2",54906,"TASOR2","ENSG00000108021"
"gene_symbol1874","GSK3A",2931,"GSK3A","ENSG00000105723"
"gene_symbol1875","GOPC",57120,"GOPC","ENSG00000047932"
"gene_symbol1876","ANKRD30B",374860,"ANKRD30B","ENSG00000180777"
"gene_symbol1877","OR51B6",390058,"OR51B6","ENSG00000176239"
"gene_symbol1878","CEP83",51134,"CEP83","ENSG00000173588"
"gene_symbol1879","PAX4",5078,"PAX4","ENSG00000106331"
"gene_symbol1880","ATP6V1G1",9550,"ATP6V1G1","ENSG00000136888"
"gene_symbol1881","KXD1",79036,"KXD1","ENSG00000105700"
"gene_symbol1882","PLA1A",51365,"PLA1A","ENSG00000144837"
"gene_symbol1883","LINC02154",109729169,"LINC02154","ENSG00000235385"
"gene_symbol1884","MIR8056",102465862,"MIR8056","ENSG00000274994"
"gene_symbol1885","MIR6787",102465472,"MIR6787","ENSG00000284574"
"gene_symbol1886","CPNE1",8904,"CPNE1","ENSG00000214078"
"gene_symbol1887","PODXL2",50512,"PODXL2","ENSG00000114631"
"gene_symbol1888","ABCA10",10349,"ABCA10","ENSG00000154263"
"gene_symbol1889","AZI2",64343,"AZI2","ENSG00000163512"
"gene_symbol1890","ZNF229",7772,"ZNF229","ENSG00000278318"
"gene_symbol1891","PKN2-AS1",101927891,"PKN2-AS1","ENSG00000237505"
"gene_symbol1892","POLR3GL",84265,"POLR3GL","ENSG00000121851"
"gene_symbol1893","MIOX",55586,"MIOX","ENSG00000100253"
"gene_symbol1894","TFAP2D",83741,"TFAP2D","ENSG00000008197"
"gene_symbol1895","KBTBD11",9920,"KBTBD11","ENSG00000176595"
"gene_symbol1896","JARID2",3720,"JARID2","ENSG00000008083"
"gene_symbol1897","MIR4254",100423028,"MIR4254","ENSG00000266580"
"gene_symbol1898","ISOC1",51015,"ISOC1","ENSG00000066583"
"gene_symbol1899","DMTF1",9988,"DMTF1","ENSG00000135164"
"gene_symbol1900","MYBPH",4608,"MYBPH","ENSG00000133055"
"gene_symbol1901","SNORD114-27",767608,"SNORD114-27","ENSG00000200636"
"gene_symbol1902","GCSH",2653,"GCSH","ENSG00000140905"
"gene_symbol1903","NCAPG",64151,"NCAPG","ENSG00000109805"
"gene_symbol1904","VDR",7421,"VDR","ENSG00000111424"
"gene_symbol1905","CPEB1",64506,"CPEB1","ENSG00000214575"
"gene_symbol1906","CLPX",10845,"CLPX","ENSG00000166855"
"gene_symbol1907","NPY4R2",100996758,"NPY4R2","ENSG00000264717"
"gene_symbol1908","OR5T2",219464,"OR5T2","ENSG00000181718"
"gene_symbol1909","MRPL12",6182,"MRPL12","ENSG00000262814"
"gene_symbol1910","GPR180",160897,"GPR180","ENSG00000152749"
"gene_symbol1911","EDIL3",10085,"EDIL3","ENSG00000164176"
"gene_symbol1912","UXS1",80146,"UXS1","ENSG00000115652"
"gene_symbol1913","LINC00877",285286,"LINC00877","ENSG00000241163"
"gene_symbol1914","TATDN3",128387,"TATDN3","ENSG00000203705"
"gene_symbol1915","SMYD5",10322,"SMYD5","ENSG00000135632"
"gene_symbol1916","DEAF1",10522,"DEAF1","ENSG00000177030"
"gene_symbol1917","MIR3685",100500802,"MIR3685","ENSG00000265917"
"gene_symbol1918","IFNL1",282618,"IFNL1","ENSG00000182393"
"gene_symbol1919","CLYBL-AS2",100874063,"CLYBL-AS2","ENSG00000227659"
"gene_symbol1920","H2BC12",85236,"H2BC12","ENSG00000197903"
"gene_symbol1921","ALLC",55821,"ALLC","ENSG00000151360"
"gene_symbol1922","CLLU1",574028,"CLLU1","ENSG00000257127"
"gene_symbol1923","ZNF287",57336,"ZNF287","ENSG00000141040"
"gene_symbol1924","AGO4",192670,"AGO4","ENSG00000134698"
"gene_symbol1925","C3orf18",51161,"C3orf18","ENSG00000088543"
"gene_symbol1926","WEE2",494551,"WEE2","ENSG00000214102"
"gene_symbol1927","POLA1",5422,"POLA1","ENSG00000101868"
"gene_symbol1928","GJA10",84694,"GJA10","ENSG00000135355"
"gene_symbol1929","LBH",81606,"LBH","ENSG00000213626"
"gene_symbol1930","ANKRD33B",651746,"ANKRD33B","ENSG00000164236"
"gene_symbol1931","PEX16",9409,"PEX16","ENSG00000121680"
"gene_symbol1932","GPR87",53836,"GPR87","ENSG00000138271"
"gene_symbol1933","CEP126",57562,"CEP126","ENSG00000110318"
"gene_symbol1934","LRRC26",389816,"LRRC26","ENSG00000184709"
"gene_symbol1935","CD3G",917,"CD3G","ENSG00000160654"
"gene_symbol1936","MIR6796",102465477,"MIR6796","ENSG00000275652"
"gene_symbol1937","UMOD",7369,"UMOD","ENSG00000169344"
"gene_symbol1938","CXCR1",3577,"CXCR1","ENSG00000163464"
"gene_symbol1939","APBA1",320,"APBA1","ENSG00000107282"
"gene_symbol1940","CT55",54967,"CT55","ENSG00000169551"
"gene_symbol1941","TRAPPC11",60684,"TRAPPC11","ENSG00000168538"
"gene_symbol1942","SYT10",341359,"SYT10","ENSG00000110975"
"gene_symbol1943","SBK1",388228,"SBK1","ENSG00000188322"
"gene_symbol1944","TBCE",6905,"TBCE","ENSG00000284770"
"gene_symbol1945","ZNF718",255403,"ZNF718","ENSG00000250312"
"gene_symbol1946","MIR5583-2",100846997,"MIR5583-2","ENSG00000283645"
"gene_symbol1947","XRCC4",7518,"XRCC4","ENSG00000152422"
"gene_symbol1948","MIR4729",100616204,"MIR4729","ENSG00000263857"
"gene_symbol1949","BIRC5",332,"BIRC5","ENSG00000089685"
"gene_symbol1950","FRMD6-AS1",145438,"FRMD6-AS1","ENSG00000273888"
"gene_symbol1951","MIR373",442918,"MIR373","ENSG00000199143"
"gene_symbol1952","SSTR3",6753,"SSTR3","ENSG00000278195"
"gene_symbol1953","LINC02654",102724039,"LINC02654","ENSG00000226140"
"gene_symbol1954","PRPF38A",84950,"PRPF38A","ENSG00000134748"
"gene_symbol1955","TRAM1L1",133022,"TRAM1L1","ENSG00000174599"
"gene_symbol1956","SOX12",6666,"SOX12","ENSG00000177732"
"gene_symbol1957","STOML3",161003,"STOML3","ENSG00000133115"
"gene_symbol1958","SLC23A1",9963,"SLC23A1","ENSG00000170482"
"gene_symbol1959","FKBP9P1",360132,"FKBP9P1","ENSG00000176826"
"gene_symbol1960","C9orf62",157927,"LINC02907","ENSG00000178243"
"gene_symbol1961","TRIM34",53840,"TRIM34","ENSG00000258659"
"gene_symbol1962","AC108734.4",101928882,"LOC101928882","ENSG00000285336"
"gene_symbol1963","ANAPC1P1",100286979,"ANAPC1P1","ENSG00000233673"
"gene_symbol1964","SNORA77",677843,"SNORA77","ENSG00000221643"
"gene_symbol1965","CCDC124",115098,"CCDC124","ENSG00000007080"
"gene_symbol1966","TOP2B",7155,"TOP2B","ENSG00000077097"
"gene_symbol1967","DDX49",54555,"DDX49","ENSG00000105671"
"gene_symbol1968","TYW1",55253,"TYW1","ENSG00000198874"
"gene_symbol1969","HELQ",113510,"HELQ","ENSG00000163312"
"gene_symbol1970","CMPK2",129607,"CMPK2","ENSG00000134326"
"gene_symbol1971","LTO1",220064,"LTO1","ENSG00000149716"
"gene_symbol1972","KLHL5",51088,"KLHL5","ENSG00000109790"
"gene_symbol1973","CDK4",1019,"CDK4","ENSG00000135446"
"gene_symbol1974","SLAMF1",6504,"SLAMF1","ENSG00000117090"
"gene_symbol1975","CDH26",60437,"CDH26","ENSG00000124215"
"gene_symbol1976","AVEN",57099,"AVEN","ENSG00000169857"
"gene_symbol1977","UBXN4",23190,"UBXN4","ENSG00000144224"
"gene_symbol1978","KCTD18",130535,"KCTD18","ENSG00000155729"
"gene_symbol1979","CDC42",998,"CDC42","ENSG00000070831"
"gene_symbol1980","SNHG8",100093630,"SNHG8","ENSG00000269893"
"gene_symbol1981","ITGA10",8515,"ITGA10","ENSG00000143127"
"gene_symbol1982","RCBTB2",1102,"RCBTB2","ENSG00000136161"
"gene_symbol1983","ZEB2-AS1",100303491,"ZEB2-AS1","ENSG00000238057"
"gene_symbol1984","OR8B4",283162,"OR8B4","ENSG00000280090"
"gene_symbol1985","SLIRP",81892,"SLIRP","ENSG00000119705"
"gene_symbol1986","WDR90",197335,"WDR90","ENSG00000161996"
"gene_symbol1987","PRSS42P",339906,"PRSS42P","ENSG00000178055"
"gene_symbol1988","MORC4",79710,"MORC4","ENSG00000133131"
"gene_symbol1989","PALM",5064,"PALM","ENSG00000099864"
"gene_symbol1990","COLCA1",399948,"COLCA1","ENSG00000196167"
"gene_symbol1991","MIR3977",100616297,"MIR3977","ENSG00000283359"
"gene_symbol1992","DMBX1",127343,"DMBX1","ENSG00000197587"
"gene_symbol1993","UGT1A8",54576,"UGT1A8","ENSG00000242366"
"gene_symbol1994","KCNE1B",102723475,"LOC102723475","ENSG00000276289"
"gene_symbol1995","TAS2R19",259294,"TAS2R19","ENSG00000212124"
"gene_symbol1996","PCNX2",80003,"PCNX2","ENSG00000135749"
"gene_symbol1997","LINC00620",285375,"LINC00620","ENSG00000224514"
"gene_symbol1998","SNORD121B",101340252,"SNORD121B","ENSG00000238300"
"gene_symbol1999","DCAF11",80344,"DCAF11","ENSG00000100897"
"gene_symbol2000","URB1-AS1",84996,"URB1-AS1","ENSG00000256073"
"gene_symbol2001","OR4C16",219428,"OR4C16","ENSG00000279514"
"gene_symbol2002","ST8SIA6",338596,"ST8SIA6","ENSG00000148488"
"gene_symbol2003","ZC3H12D",340152,"ZC3H12D","ENSG00000178199"
"gene_symbol2004","TUBD1",51174,"TUBD1","ENSG00000108423"
"gene_symbol2005","AREG",374,"AREG","ENSG00000109321"
"gene_symbol2006","CMTM7",112616,"CMTM7","ENSG00000153551"
"gene_symbol2007","ETV2",2116,"ETV2","ENSG00000105672"
"gene_symbol2008","TRAF2",7186,"TRAF2","ENSG00000127191"
"gene_symbol2009","MIR3686",100500839,"MIR3686","ENSG00000263763"
"gene_symbol2010","DDX3Y",8653,"DDX3Y","ENSG00000067048"
"gene_symbol2011","MKLN1",4289,"MKLN1","ENSG00000128585"
"gene_symbol2012","IPPK",64768,"IPPK","ENSG00000127080"
"gene_symbol2013","RNF225",646862,"RNF225","ENSG00000269855"
"gene_symbol2014","UCKL1",54963,"UCKL1","ENSG00000198276"
"gene_symbol2015","AL109946.1",101928335,"LOC101928335","ENSG00000236064"
"gene_symbol2016","EIF3J-DT",645212,"EIF3J-DT","ENSG00000179523"
"gene_symbol2017","MIR4659A",100616348,"MIR4659A","ENSG00000266038"
"gene_symbol2018","RPS7",6201,"RPS7","ENSG00000171863"
"gene_symbol2019","IL10RA",3587,"IL10RA","ENSG00000110324"
"gene_symbol2020","GON4L",54856,"GON4L","ENSG00000116580"
