"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene17812","C7orf49","78996","CYREN","ENSG00000122783"
"gene17813","WDR91","29062","WDR91","ENSG00000105875"
"gene17814","STRA8","346673","STRA8","ENSG00000146857"
"gene17815","CNOT4","4850","CNOT4","ENSG00000080802"
"gene17816","C7orf73","647087","STMP1","ENSG00000243317"
"gene17817","LUZP6","767558","LUZP6",""
"gene17818","MTPN","136319","MTPN","ENSG00000105887"
"gene17819","LOC349160","349160","LOC349160","ENSG00000234352"
"gene17820","DGKI","9162","DGKI","ENSG00000157680"
"gene17821","DGKI","9162","DGKI","ENSG00000157680"
"gene17822","CREB3L2","64764","CREB3L2","ENSG00000182158"
"gene17823","TRIM24","8805","TRIM24","ENSG00000122779"
"gene17824","ATP6V0A4","50617","ATP6V0A4","ENSG00000105929"
"gene17825","ATP6V0A4","50617","ATP6V0A4","ENSG00000105929"
"gene17826","KIAA1549","57670","KIAA1549","ENSG00000122778"
"gene17827","ZC3HAV1L","92092","ZC3HAV1L","ENSG00000146858"
"gene17828","ZC3HAV1","56829","ZC3HAV1","ENSG00000105939"
"gene17829","UBN2","254048","UBN2","ENSG00000157741"
"gene17830","LUC7L2","51631","LUC7L2","ENSG00000146963"
"gene17831","FMC1","154791","FMC1","ENSG00000164898"
"gene17832","C7orf55-LUC7L2","100996928","FMC1-LUC7L2","ENSG00000269955"
"gene17833","FMC1","154791","FMC1","ENSG00000164898"
"gene17834","LUC7L2","51631","LUC7L2","ENSG00000146963"
"gene17835","KLRG2","346689","KLRG2","ENSG00000188883"
"gene17836","CLEC2L","154790","CLEC2L","ENSG00000236279"
"gene17837","TBXAS1","6916","TBXAS1","ENSG00000059377"
"gene17838","HIPK2","28996","HIPK2","ENSG00000064393"
"gene17839","PARP12","64761","PARP12","ENSG00000059378"
"gene17840","JHDM1D-AS1","100134229","KDM7A-DT","ENSG00000260231"
"gene17841","KDM7A","80853","KDM7A","ENSG00000006459"
"gene17842","SLC37A3","84255","SLC37A3","ENSG00000157800"
"gene17843","RAB19","401409","RAB19","ENSG00000146955"
"gene17844","MKRN1","23608","MKRN1","ENSG00000133606"
"gene17845","DENND2A","27147","DENND2A","ENSG00000146966"
"gene17846","DENND2A","27147","DENND2A","ENSG00000146966"
"gene17847","ADCK2","90956","ADCK2","ENSG00000133597"
"gene17848","NDUFB2","4708","NDUFB2","ENSG00000090266"
"gene17849","NDUFB2-AS1","100134713","NDUFB2-AS1","ENSG00000240889"
"gene17850","BRAF","673","BRAF","ENSG00000157764"
"gene17851","MRPS33","51650","MRPS33","ENSG00000090263"
"gene17852","MRPS33","51650","MRPS33","ENSG00000090263"
"gene17853","TMEM178B","100507421","TMEM178B","ENSG00000261115"
"gene17854","KIAA1147","57189","DENND11","ENSG00000257093"
"gene17855","SSBP1","6742","SSBP1","ENSG00000106028"
"gene17856","SSBP1","6742","SSBP1","ENSG00000106028"
"gene17857","WEE2-AS1","285962","WEE2-AS1","ENSG00000228775"
"gene17858","MOXD2P","100289017","MOXD2P","ENSG00000240268"
"gene17859","EPHB6","2051","EPHB6","ENSG00000106123"
"gene17860","TRPV5","56302","TRPV5","ENSG00000127412"
"gene17861","GSTK1","373156","GSTK1","ENSG00000197448"
"gene17862","TMEM139","135932","TMEM139","ENSG00000178826"
"gene17863","TMEM139","135932","TMEM139","ENSG00000178826"
"gene17864","CASP2","835","CASP2","ENSG00000106144"
"gene17865","CASP2","835","CASP2","ENSG00000106144"
"gene17866","FAM131B","9715","FAM131B","ENSG00000159784"
"gene17867","FAM131B","9715","FAM131B","ENSG00000159784"
"gene17868","ZYX","7791","ZYX","ENSG00000159840"
"gene17869","LOC100507507","","",""
"gene17870","MIR6892","102465538","MIR6892","ENSG00000278449"
"gene17871","EPHA1","2041","EPHA1","ENSG00000146904"
"gene17872","LOC154761","154761","LOC154761","ENSG00000253882"
"gene17873","TCAF1","9747","TCAF1","ENSG00000198420"
"gene17874","TCAF1","9747","TCAF1","ENSG00000198420"
"gene17875","TCAF1","9747","TCAF1","ENSG00000198420"
"gene17876","TPK1","27010","TPK1","ENSG00000196511"
"gene17877","CNTNAP2","26047","CNTNAP2","ENSG00000174469"
"gene17878","LOC105375556","105375556","LOC105375556","ENSG00000230190"
"gene17879","CUL1","8454","CUL1","ENSG00000055130"
"gene17880","EZH2","2146","EZH2","ENSG00000106462"
"gene17881","EZH2","2146","EZH2","ENSG00000106462"
"gene17882","GHET1","102723099","GHET1","ENSG00000281189"
"gene17883","PDIA4","9601","PDIA4","ENSG00000155660"
"gene17884","ZNF786","136051","ZNF786","ENSG00000197362"
"gene17885","ZNF398","57541","ZNF398","ENSG00000197024"
"gene17886","ZNF425","155054","ZNF425","ENSG00000204947"
"gene17887","ZNF398","57541","ZNF398","ENSG00000197024"
"gene17888","ZNF282","8427","ZNF282","ENSG00000170265"
"gene17889","ZNF212","7988","ZNF212","ENSG00000170260"
"gene17890","ZNF783","100289678","ZNF783","ENSG00000204946"
"gene17891","LOC155060","155060","LOC155060","ENSG00000244560"
"gene17892","ZNF777","27153","ZNF777","ENSG00000196453"
"gene17893","ZNF746","155061","ZNF746","ENSG00000181220"
"gene17894","ZNF767P","79970","ZNF767P","ENSG00000133624"
"gene17895","KRBA1","84626","KRBA1","ENSG00000133619"
"gene17896","ZNF467","168544","ZNF467","ENSG00000181444"
"gene17897","ZNF862","643641","ZNF862","ENSG00000106479"
"gene17898","ATP6V0E2-AS1","401431","ATP6V0E2-AS1","ENSG00000204934"
"gene17899","LRRC61","65999","LRRC61","ENSG00000127399"
"gene17900","ACTR3C","653857","ACTR3C","ENSG00000106526"
"gene17901","RARRES2","5919","RARRES2","ENSG00000106538"
"gene17902","REPIN1","29803","REPIN1","ENSG00000214022"
"gene17903","REPIN1","29803","REPIN1","ENSG00000214022"
"gene17904","ZNF775","285971","ZNF775","ENSG00000196456"
"gene17905","LOC728743","728743","LOC728743","ENSG00000284691"
"gene17906","GIMAP8","155038","GIMAP8","ENSG00000171115"
"gene17907","TMEM176A","55365","TMEM176A","ENSG00000002933"
"gene17908","TMEM176B","28959","TMEM176B","ENSG00000106565"
"gene17909","TMEM176B","28959","TMEM176B","ENSG00000106565"
"gene17910","AOC1","26","AOC1","ENSG00000002726"
"gene17911","KCNH2","3757","KCNH2","ENSG00000055118"
"gene17912","KCNH2","3757","KCNH2","ENSG00000055118"
"gene17913","NOS3","4846","NOS3","ENSG00000164867"
"gene17914","NOS3","4846","NOS3","ENSG00000164867"
"gene17915","ABCB8","11194","ABCB8","ENSG00000197150"
"gene17916","SLC4A2","6522","SLC4A2","ENSG00000164889"
"gene17917","CDK5","1020","CDK5","ENSG00000164885"
"gene17918","SLC4A2","6522","SLC4A2","ENSG00000164889"
"gene17919","SLC4A2","6522","SLC4A2","ENSG00000164889"
"gene17920","SLC4A2","6522","SLC4A2","ENSG00000164889"
"gene17921","FASTK","10922","FASTK","ENSG00000164896"
"gene17922","TMUB1","83590","TMUB1","ENSG00000164897"
"gene17923","TMUB1","83590","TMUB1","ENSG00000164897"
"gene17924","AGAP3","116988","AGAP3","ENSG00000133612"
"gene17925","AGAP3","116988","AGAP3","ENSG00000133612"
"gene17926","GBX1","2636","GBX1","ENSG00000164900"
"gene17927","ASB10","136371","ASB10","ENSG00000146926"
"gene17928","ASB10","136371","ASB10","ENSG00000146926"
"gene17929","ABCF2","10061","ABCF2","ENSG00000033050"
"gene17930","CHPF2","54480","CHPF2","ENSG00000033100"
"gene17931","MIR671","768213","MIR671","ENSG00000284191"
"gene17932","SMARCD3","6604","SMARCD3","ENSG00000082014"
"gene17933","SMARCD3","6604","SMARCD3","ENSG00000082014"
"gene17934","SMARCD3","6604","SMARCD3","ENSG00000082014"
"gene17935","NUB1","51667","NUB1","ENSG00000013374"
"gene17936","WDR86","349136","WDR86","ENSG00000187260"
"gene17937","WDR86","349136","WDR86","ENSG00000187260"
"gene17938","MIR3907","100500835","MIR3907","ENSG00000265810"
"gene17939","CRYGN","155051","CRYGN","ENSG00000127377"
"gene17940","RHEB","6009","RHEB","ENSG00000106615"
"gene17941","PRKAG2","51422","PRKAG2","ENSG00000106617"
"gene17942","PRKAG2-AS1","100505483","PRKAG2-AS1",""
"gene17943","PRKAG2","51422","PRKAG2","ENSG00000106617"
"gene17944","GALNTL5","168391","GALNTL5","ENSG00000106648"
"gene17945","GALNT11","63917","GALNT11","ENSG00000178234"
"gene17946","FABP5P3","220832","FABP5P3","ENSG00000241735"
"gene17947","KMT2C","58508","KMT2C","ENSG00000055609"
"gene17948","LINC01003","100128822","LINC01003","ENSG00000261455"
"gene17949","XRCC2","7516","XRCC2","ENSG00000196584"
"gene17950","ACTR3B","57180","ACTR3B","ENSG00000133627"
"gene17951","LINC01287","103724390","LINC01287","ENSG00000234722"
"gene17952","DPP6","1804","DPP6","ENSG00000130226"
"gene17953","DPP6","1804","DPP6","ENSG00000130226"
"gene17954","LOC101929998","101929998","LOC101929998",""
"gene17955","DPP6","1804","DPP6","ENSG00000130226"
"gene17956","PAXIP1-AS1","202781","PAXIP1-DT","ENSG00000273344"
"gene17957","PAXIP1","22976","PAXIP1","ENSG00000157212"
"gene17958","HTR5A","3361","HTR5A","ENSG00000157219"
"gene17959","HTR5A-AS1","100128264","HTR5A-AS1","ENSG00000220575"
"gene17960","INSIG1","3638","INSIG1","ENSG00000186480"
"gene17961","EN2","2020","EN2","ENSG00000164778"
"gene17962","CNPY1","285888","CNPY1","ENSG00000146910"
"gene17963","RBM33","155435","RBM33","ENSG00000184863"
"gene17964","LOC100506302","","",""
"gene17965","SHH","6469","SHH","ENSG00000164690"
"gene17966","SHH","6469","SHH","ENSG00000164690"
"gene17967","LOC285889","285889","LOC285889",""
"gene17968","RNF32","140545","RNF32","ENSG00000105982"
"gene17969","RNF32","140545","RNF32","ENSG00000105982"
"gene17970","C7orf13","100506380","RNF32-DT","ENSG00000182648"
"gene17971","LMBR1","64327","LMBR1","ENSG00000105983"
"gene17972","NOM1","64434","NOM1","ENSG00000146909"
"gene17973","MNX1","3110","MNX1","ENSG00000130675"
"gene17974","MNX1-AS1","645249","MNX1-AS1","ENSG00000243479"
"gene17975","MNX1","3110","MNX1","ENSG00000130675"
"gene17976","UBE3C","9690","UBE3C","ENSG00000009335"
"gene17977","DNAJB6","10049","DNAJB6","ENSG00000105993"
"gene17978","DNAJB6","10049","DNAJB6","ENSG00000105993"
"gene17979","LOC101927914","101927914","LOC101927914","ENSG00000234210"
