"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene1","LOC100288069","100288069","LOC100288069",""
"gene2","LINC01128","643837","LINC01128","ENSG00000228794"
"gene3","LINC01128","643837","LINC01128","ENSG00000228794"
"gene4","LOC100130417","","",""
"gene5","SAMD11","148398","SAMD11","ENSG00000187634"
"gene6","NOC2L","26155","NOC2L","ENSG00000188976"
"gene7","KLHL17","339451","KLHL17","ENSG00000187961"
"gene8","PLEKHN1","84069","PLEKHN1","ENSG00000187583"
"gene9","PERM1","84808","PERM1","ENSG00000187642"
"gene10","HES4","57801","HES4","ENSG00000188290"
"gene11","AGRN","375790","AGRN","ENSG00000188157"
"gene12","RNF223","401934","RNF223","ENSG00000237330"
"gene13","C1orf159","54991","C1orf159","ENSG00000131591"
"gene14","LINC01342","254099","LINC01342","ENSG00000223823"
"gene15","MIR200B","406984","MIR200B","ENSG00000207730"
"gene16","MIR200A","406983","MIR200A","ENSG00000207607"
"gene17","MIR429","554210","MIR429","ENSG00000198976"
"gene18","TTLL10","254173","TTLL10","ENSG00000162571"
"gene19","TTLL10","254173","TTLL10","ENSG00000162571"
"gene20","TNFRSF18","8784","TNFRSF18","ENSG00000186891"
"gene21","B3GALT6","126792","B3GALT6","ENSG00000176022"
"gene22","SDF4","51150","SDF4","ENSG00000078808"
"gene23","FAM132A","388581","C1QTNF12","ENSG00000184163"
"gene24","UBE2J2","118424","UBE2J2","ENSG00000160087"
"gene25","MIR6726","102465434","MIR6726","ENSG00000278073"
"gene26","PUSL1","126789","PUSL1","ENSG00000169972"
"gene27","ACAP3","116983","ACAP3","ENSG00000131584"
"gene28","MIR6727","102465435","MIR6727","ENSG00000283712"
"gene29","CPTP","80772","CPTP","ENSG00000224051"
"gene30","CPSF3L","54973","INTS11","ENSG00000127054"
"gene31","TAS1R3","83756","TAS1R3","ENSG00000169962"
"gene32","DVL1","1855","DVL1","ENSG00000107404"
"gene33","MXRA8","54587","MXRA8","ENSG00000162576"
"gene34","MXRA8","54587","MXRA8","ENSG00000162576"
"gene35","MXRA8","54587","MXRA8","ENSG00000162576"
"gene36","MXRA8","54587","MXRA8","ENSG00000162576"
"gene37","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene38","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene39","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene40","LOC148413","","",""
"gene41","CCNL2","81669","CCNL2","ENSG00000221978"
"gene42","MRPL20","55052","MRPL20","ENSG00000242485"
"gene43","TMEM88B","643965","TMEM88B","ENSG00000205116"
"gene44","VWA1","64856","VWA1","ENSG00000179403"
"gene45","LOC102724312","","",""
"gene46","ATAD3C","219293","ATAD3C","ENSG00000215915"
"gene47","ATAD3B","83858","ATAD3B","ENSG00000160072"
"gene48","ATAD3B","83858","ATAD3B","ENSG00000160072"
"gene49","ATAD3A","55210","ATAD3A","ENSG00000197785"
"gene50","ATAD3A","55210","ATAD3A","ENSG00000197785"
"gene51","TMEM240","339453","TMEM240","ENSG00000205090"
"gene52","SSU72","29101","SSU72","ENSG00000160075"
"gene53","FNDC10","643988","FNDC10","ENSG00000228594"
"gene54","MIB2","142678","MIB2","ENSG00000197530"
"gene55","MIB2","142678","MIB2","ENSG00000197530"
"gene56","MMP23B","8510","MMP23B","ENSG00000189409"
"gene57","MMP23A","8511","MMP23A","ENSG00000215914"
"gene58","SLC35E2B","728661","SLC35E2B","ENSG00000189339"
"gene59","CDK11B","984","CDK11B","ENSG00000248333"
"gene60","CDK11A","728642","CDK11A","ENSG00000008128"
"gene61","SLC35E2","9906","SLC35E2A","ENSG00000215790"
"gene62","NADK","65220","NADK","ENSG00000008130"
"gene63","NADK","65220","NADK","ENSG00000008130"
"gene64","NADK","65220","NADK","ENSG00000008130"
"gene65","GNB1","2782","GNB1","ENSG00000078369"
"gene66","TMEM52","339456","TMEM52","ENSG00000178821"
"gene67","CFAP74","85452","CFAP74","ENSG00000142609"
"gene68","GABRD","2563","GABRD","ENSG00000187730"
"gene69","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene70","LOC105378591","","",""
"gene71","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene72","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene73","FAAP20","199990","FAAP20","ENSG00000162585"
"gene74","FAAP20","199990","FAAP20","ENSG00000162585"
"gene75","FAAP20","199990","FAAP20","ENSG00000162585"
"gene76","SKI","6497","SKI","ENSG00000157933"
"gene77","LOC100129534","100129534","LOC100129534","ENSG00000269896"
"gene78","RER1","11079","RER1","ENSG00000157916"
"gene79","MORN1","79906","MORN1","ENSG00000116151"
"gene80","PEX10","5192","PEX10","ENSG00000157911"
"gene81","PLCH2","9651","PLCH2","ENSG00000149527"
"gene82","PLCH2","9651","PLCH2","ENSG00000149527"
"gene83","PANK4","55229","PANK4","ENSG00000157881"
"gene84","HES5","388585","HES5","ENSG00000197921"
"gene85","TNFRSF14","8764","TNFRSF14","ENSG00000157873"
"gene86","LOC115110","","",""
"gene87","LOC100996583","100996583","LOC100996583","ENSG00000228037"
"gene88","FAM213B","127281","PRXL2B","ENSG00000157870"
"gene89","FAM213B","127281","PRXL2B","ENSG00000157870"
"gene90","MMEL1","79258","MMEL1","ENSG00000142606"
"gene91","TTC34","100287898","TTC34","ENSG00000215912"
"gene92","ACTRT2","140625","ACTRT2","ENSG00000169717"
"gene93","LINC00982","440556","PRDM16-DT","ENSG00000177133"
"gene94","PRDM16","63976","PRDM16","ENSG00000142611"
"gene95","MIR4251","100422968","MIR4251","ENSG00000283572"
"gene96","ARHGEF16","27237","ARHGEF16","ENSG00000130762"
"gene97","MIR551A","693135","MIR551A","ENSG00000207776"
"gene98","MEGF6","1953","MEGF6","ENSG00000162591"
"gene99","TPRG1L","127262","TPRG1L","ENSG00000158109"
"gene100","WRAP73","49856","WRAP73","ENSG00000116213"
"gene101","TP73","7161","TP73","ENSG00000078900"
"gene102","TP73","7161","TP73","ENSG00000078900"
"gene103","TP73","7161","TP73","ENSG00000078900"
"gene104","TP73-AS1","57212","TP73-AS1","ENSG00000227372"
"gene105","TP73-AS1","57212","TP73-AS1","ENSG00000227372"
"gene106","SMIM1","388588","SMIM1","ENSG00000235169"
"gene107","SMIM1","388588","SMIM1","ENSG00000235169"
"gene108","LRRC47","57470","LRRC47","ENSG00000130764"
"gene109","DFFB","1677","DFFB","ENSG00000169598"
"gene110","CEP104","9731","CEP104","ENSG00000116198"
"gene111","LINC01134","100133612","LINC01134","ENSG00000236423"
"gene112","C1orf174","339448","C1orf174","ENSG00000198912"
"gene113","LINC01346","728716","LINC01346",""
"gene114","AJAP1","55966","AJAP1","ENSG00000196581"
"gene115","MIR4689","100616421","MIR4689","ENSG00000264101"
"gene116","KCNAB2","8514","KCNAB2","ENSG00000069424"
"gene117","NPHP4","261734","NPHP4","ENSG00000131697"
"gene118","KCNAB2","8514","KCNAB2","ENSG00000069424"
"gene119","KCNAB2","8514","KCNAB2","ENSG00000069424"
"gene120","KCNAB2","8514","KCNAB2","ENSG00000069424"
"gene121","KCNAB2","8514","KCNAB2","ENSG00000069424"
"gene122","CHD5","26038","CHD5","ENSG00000116254"
"gene123","RPL22","6146","RPL22","ENSG00000116251"
"gene124","RNF207","388591","RNF207","ENSG00000158286"
"gene125","LOC102724450","","",""
"gene126","LINC00337","148645","ICMT-DT",""
"gene127","ICMT","23463","ICMT","ENSG00000116237"
"gene128","GPR153","387509","GPR153","ENSG00000158292"
"gene129","ACOT7","11332","ACOT7","ENSG00000097021"
"gene130","ACOT7","11332","ACOT7","ENSG00000097021"
"gene131","ACOT7","11332","ACOT7","ENSG00000097021"
"gene132","ACOT7","11332","ACOT7","ENSG00000097021"
"gene133","HES2","54626","HES2","ENSG00000069812"
"gene134","ESPN","83715","ESPN","ENSG00000187017"
"gene135","MIR4252","100422975","MIR4252","ENSG00000265392"
"gene136","TNFRSF25","8718","TNFRSF25","ENSG00000215788"
"gene137","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene138","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene139","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene140","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene141","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene142","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene143","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene144","PLEKHG5","57449","PLEKHG5","ENSG00000171680"
"gene145","TAS1R1","80835","TAS1R1","ENSG00000173662"
"gene146","NOL9","79707","NOL9","ENSG00000162408"
"gene147","ZBTB48","3104","ZBTB48","ENSG00000204859"
"gene148","KLHL21","9903","KLHL21","ENSG00000162413"
"gene149","PHF13","148479","PHF13","ENSG00000116273"
"gene150","THAP3","90326","THAP3","ENSG00000041988"
"gene151","DNAJC11","55735","DNAJC11","ENSG00000007923"
"gene152","CAMTA1","23261","CAMTA1","ENSG00000171735"
"gene153","VAMP3","9341","VAMP3","ENSG00000049245"
"gene154","PER3","8863","PER3","ENSG00000049246"
"gene155","UTS2","10911","UTS2","ENSG00000049247"
"gene156","UTS2","10911","UTS2","ENSG00000049247"
"gene157","PARK7","11315","PARK7","ENSG00000116288"
"gene158","ERRFI1","54206","ERRFI1","ENSG00000116285"
"gene159","LOC102724539","","",""
"gene160","SLC45A1","50651","SLC45A1","ENSG00000162426"
"gene161","LOC102724552","","",""
"gene162","RERE","473","RERE","ENSG00000142599"
"gene163","RERE","473","RERE","ENSG00000142599"
"gene164","ENO1","2023","ENO1","ENSG00000074800"
"gene165","ENO1-AS1","100505975","ENO1-AS1","ENSG00000230679"
"gene166","ENO1","2023","ENO1","ENSG00000074800"
"gene167","CA6","765","CA6","ENSG00000131686"
"gene168","SLC2A5","6518","SLC2A5","ENSG00000142583"
"gene169","GPR157","80045","GPR157","ENSG00000180758"
"gene170","MIR34A","407040","MIR34A","ENSG00000284357"
"gene171","LOC102724571","","",""
"gene172","MIR34AHG","106614088","MIR34AHG","ENSG00000228526"
"gene173","H6PD","9563","H6PD","ENSG00000049239"
"gene174","SPSB1","80176","SPSB1","ENSG00000171621"
"gene175","SLC25A33","84275","SLC25A33","ENSG00000171612"
"gene176","TMEM201","199953","TMEM201","ENSG00000188807"
"gene177","PIK3CD-AS1","644997","PIK3CD-AS1","ENSG00000179840"
"gene178","PIK3CD-AS2","101929074","PIK3CD-AS2","ENSG00000231789"
"gene179","CLSTN1","22883","CLSTN1","ENSG00000171603"
"gene180","CTNNBIP1","56998","CTNNBIP1","ENSG00000178585"
"gene181","NMNAT1","64802","NMNAT1","ENSG00000173614"
"gene182","LZIC","84328","LZIC","ENSG00000162441"
"gene183","RBP7","116362","RBP7","ENSG00000162444"
"gene184","UBE4B","10277","UBE4B","ENSG00000130939"
"gene185","KIF1B","23095","KIF1B","ENSG00000054523"
"gene186","PGD","5226","PGD","ENSG00000142657"
"gene187","PGD","5226","PGD","ENSG00000142657"
"gene188","APITD1","378708","CENPS","ENSG00000175279"
"gene189","APITD1-CORT","100526739","CENPS-CORT","ENSG00000251503"
"gene190","CORT","1325","CORT","ENSG00000241563"
"gene191","DFFA","1676","DFFA","ENSG00000160049"
"gene192","PEX14","5195","PEX14","ENSG00000142655"
"gene193","CASZ1","54897","CASZ1","ENSG00000130940"
"gene194","C1orf127","148345","C1orf127","ENSG00000175262"
"gene195","TARDBP","23435","TARDBP","ENSG00000120948"
"gene196","SRM","6723","SRM","ENSG00000116649"
"gene197","LOC105376736","","",""
"gene198","LOC105376736","","",""
"gene199","EXOSC10","5394","EXOSC10","ENSG00000171824"
"gene200","MTOR","2475","MTOR","ENSG00000198793"
"gene201","UBIAD1","29914","UBIAD1","ENSG00000120942"
"gene202","DISP3","57540","DISP3","ENSG00000204624"
"gene203","FBXO44","93611","FBXO44","ENSG00000132879"
"gene204","FBXO44","93611","FBXO44","ENSG00000132879"
"gene205","FBXO2","26232","FBXO2","ENSG00000116661"
"gene206","MAD2L2","10459","MAD2L2","ENSG00000116670"
"gene207","DRAXIN","374946","DRAXIN","ENSG00000162490"
"gene208","MAD2L2","10459","MAD2L2","ENSG00000116670"
"gene209","AGTRAP","57085","AGTRAP","ENSG00000177674"
"gene210","C1orf167","284498","C1orf167","ENSG00000215910"
"gene211","CLCN6","1185","CLCN6","ENSG00000011021"
"gene212","MTHFR","4524","MTHFR","ENSG00000177000"
"gene213","NPPA-AS1","100379251","NPPA-AS1",""
"gene214","NPPB","4879","NPPB","ENSG00000120937"
"gene215","KIAA2013","90231","KIAA2013","ENSG00000116685"
"gene216","PLOD1","5351","PLOD1","ENSG00000083444"
"gene217","MFN2","9927","MFN2","ENSG00000116688"
"gene218","MIIP","60672","MIIP","ENSG00000116691"
"gene219","MIR6729","102466982","MIR6729","ENSG00000276869"
"gene220","TNFRSF8","943","TNFRSF8","ENSG00000120949"
"gene221","MIR7846","102465836","MIR7846","ENSG00000283789"
"gene222","TNFRSF1B","7133","TNFRSF1B","ENSG00000028137"
"gene223","MIR4632","100616438","MIR4632","ENSG00000263676"
"gene224","VPS13D","55187","VPS13D","ENSG00000048707"
"gene225","SNORA59B","677882","SNORA59B","ENSG00000266079"
"gene226","SNORA59A","677885","SNORA59A","ENSG00000239149"
"gene227","MIR6730","102466722","MIR6730","ENSG00000276830"
"gene228","DHRS3","9249","DHRS3","ENSG00000162496"
"gene229","DHRS3","9249","DHRS3","ENSG00000162496"
"gene230","DHRS3","9249","DHRS3","ENSG00000162496"
"gene231","AADACL3","126767","AADACL3","ENSG00000188984"
"gene232","HNRNPCL4","101060301","HNRNPCL4","ENSG00000179412"
"gene233","LRRC38","126755","LRRC38","ENSG00000162494"
"gene234","PDPN","10630","PDPN","ENSG00000162493"
"gene235","PRDM2","7799","PRDM2","ENSG00000116731"
"gene236","PRDM2","7799","PRDM2","ENSG00000116731"
"gene237","KAZN","23254","KAZN","ENSG00000189337"
"gene238","KAZN","23254","KAZN","ENSG00000189337"
"gene239","KAZN","23254","KAZN","ENSG00000189337"
"gene240","TMEM51","55092","TMEM51","ENSG00000171729"
"gene241","TMEM51-AS1","200197","TMEM51-AS1","ENSG00000175147"
"gene242","TMEM51","55092","TMEM51","ENSG00000171729"
"gene243","TMEM51","55092","TMEM51","ENSG00000171729"
"gene244","EFHD2","79180","EFHD2","ENSG00000142634"
"gene245","CASP9","842","CASP9","ENSG00000132906"
"gene246","CASP9","842","CASP9","ENSG00000132906"
"gene247","AGMAT","79814","AGMAT","ENSG00000116771"
"gene248","DDI2","84301","DDI2","ENSG00000197312"
"gene249","PLEKHM2","23207","PLEKHM2","ENSG00000116786"
"gene250","SLC25A34","284723","SLC25A34","ENSG00000162461"
"gene251","TMEM82","388595","TMEM82","ENSG00000162460"
"gene252","FBLIM1","54751","FBLIM1","ENSG00000162458"
"gene253","SPEN","23013","SPEN","ENSG00000065526"
"gene254","FLJ37453","","",""
"gene255","ZBTB17","7709","ZBTB17","ENSG00000116809"
"gene256","C1orf64","149563","SRARP","ENSG00000183888"
"gene257","HSPB7","27129","HSPB7","ENSG00000173641"
"gene258","CLCNKB","1188","CLCNKB","ENSG00000184908"
"gene259","FAM131C","348487","FAM131C","ENSG00000185519"
"gene260","EPHA2","1969","EPHA2","ENSG00000142627"
"gene261","RSG1","79363","CPLANE2","ENSG00000132881"
"gene262","FBXO42","54455","FBXO42","ENSG00000037637"
"gene263","SZRD1","26099","SZRD1","ENSG00000055070"
"gene264","SPATA21","374955","SPATA21","ENSG00000187144"
"gene265","NECAP2","55707","NECAP2","ENSG00000157191"
"gene266","LOC100132147","","",""
"gene267","NBPF1","55672","NBPF1","ENSG00000219481"
"gene268","CROCCP2","84809","CROCCP2","ENSG00000215908"
"gene269","MST1P2","11209","MST1P2",""
"gene270","LOC102724562","102724562","LOC102724562",""
"gene271","MST1L","11223","MST1L",""
"gene272","MIR3675","100500876","MIR3675","ENSG00000263811"
"gene273","LOC105376805","105376805","LOC105376805","ENSG00000238142"
"gene274","CROCC","9696","CROCC","ENSG00000058453"
"gene275","MFAP2","4237","MFAP2","ENSG00000117122"
"gene276","ATP13A2","23400","ATP13A2","ENSG00000159363"
"gene277","SDHB","6390","SDHB","ENSG00000117118"
"gene278","PADI2","11240","PADI2","ENSG00000117115"
"gene279","PADI3","51702","PADI3","ENSG00000142619"
"gene280","RCC2","55920","RCC2","ENSG00000179051"
"gene281","RCC2","55920","RCC2","ENSG00000179051"
"gene282","ARHGEF10L","55160","ARHGEF10L","ENSG00000074964"
"gene283","ARHGEF10L","55160","ARHGEF10L","ENSG00000074964"
"gene284","PAX7","5081","PAX7","ENSG00000009709"
"gene285","TAS1R2","80834","TAS1R2","ENSG00000179002"
"gene286","MIR4695","100616120","MIR4695","ENSG00000265606"
"gene287","ALDH4A1","8659","ALDH4A1","ENSG00000159423"
"gene288","IFFO2","126917","IFFO2","ENSG00000169991"
"gene289","LOC101927895","","",""
"gene290","UBR4","23352","UBR4","ENSG00000127481"
"gene291","MRTO4","51154","MRTO4","ENSG00000053372"
"gene292","EMC1","23065","EMC1","ENSG00000127463"
"gene293","AKR7L","246181","AKR7L","ENSG00000211454"
"gene294","AKR7A3","22977","AKR7A3","ENSG00000162482"
"gene295","PQLC2","54896","SLC66A1","ENSG00000040487"
"gene296","AKR7A2","8574","AKR7A2","ENSG00000053371"
"gene297","CAPZB","832","CAPZB","ENSG00000077549"
"gene298","CAPZB","832","CAPZB","ENSG00000077549"
"gene299","MINOS1","440574","MICOS10","ENSG00000173436"
"gene300","MINOS1-NBL1","100532736","MICOS10-NBL1","ENSG00000270136"
"gene301","LOC105378614","","",""
"gene302","NBL1","4681","NBL1","ENSG00000158747"
"gene303","NBL1","4681","NBL1","ENSG00000158747"
"gene304","NBL1","4681","NBL1","ENSG00000158747"
"gene305","NBL1","4681","NBL1","ENSG00000158747"
"gene306","NBL1","4681","NBL1","ENSG00000158747"
"gene307","NBL1","4681","NBL1","ENSG00000158747"
"gene308","HTR6","3362","HTR6","ENSG00000158748"
"gene309","TMCO4","255104","TMCO4","ENSG00000162542"
"gene310","RNF186","54546","RNF186","ENSG00000178828"
"gene311","OTUD3","23252","OTUD3","ENSG00000169914"
"gene312","PLA2G2E","30814","PLA2G2E","ENSG00000188784"
"gene313","UBXN10","127733","UBXN10","ENSG00000162543"
"gene314","UBXN10-AS1","391013","PLA2G2C","ENSG00000187980"
"gene315","VWA5B1","127731","VWA5B1","ENSG00000158816"
"gene316","LINC01141","339505","LINC01141",""
"gene317","CAMK2N1","55450","CAMK2N1","ENSG00000162545"
"gene318","MUL1","79594","MUL1","ENSG00000090432"
"gene319","FAM43B","163933","FAM43B","ENSG00000183114"
"gene320","PINK1","65018","PINK1","ENSG00000158828"
"gene321","MIR6084","102464833","MIR6084","ENSG00000284005"
"gene322","PINK1-AS","100861548","PINK1-AS","ENSG00000117242"
"gene323","DDOST","1650","DDOST","ENSG00000244038"
"gene324","KIF17","57576","KIF17","ENSG00000117245"
"gene325","SH2D5","400745","SH2D5","ENSG00000189410"
"gene326","HP1BP3","50809","HP1BP3","ENSG00000127483"
"gene327","EIF4G3","8672","EIF4G3","ENSG00000075151"
"gene328","ECE1","1889","ECE1","ENSG00000117298"
"gene329","ECE1","1889","ECE1","ENSG00000117298"
"gene330","ECE1","1889","ECE1","ENSG00000117298"
"gene331","NBPF3","84224","NBPF3","ENSG00000142794"
"gene332","ALPL","249","ALPL","ENSG00000162551"
"gene333","RAP1GAP","5909","RAP1GAP","ENSG00000076864"
"gene334","RAP1GAP","5909","RAP1GAP","ENSG00000076864"
"gene335","USP48","84196","USP48","ENSG00000090686"
"gene336","HSPG2","3339","HSPG2","ENSG00000142798"
"gene337","LINC00339","29092","LINC00339","ENSG00000218510"
"gene338","LINC00339","29092","LINC00339","ENSG00000218510"
"gene339","LOC101928043","","",""
"gene340","CDC42","998","CDC42","ENSG00000070831"
"gene341","WNT4","54361","WNT4","ENSG00000162552"
"gene342","ZBTB40","9923","ZBTB40","ENSG00000184677"
"gene343","EPHA8","2046","EPHA8","ENSG00000070886"
"gene344","MIR6127","102466615","MIR6127","ENSG00000276835"
"gene345","C1QC","714","C1QC","ENSG00000159189"
"gene346","C1QB","713","C1QB","ENSG00000173369"
"gene347","EPHB2","2048","EPHB2","ENSG00000133216"
"gene348","MIR4253","100422914","MIR4253","ENSG00000264014"
"gene349","KDM1A","23028","KDM1A","ENSG00000004487"
"gene350","LUZP1","7798","LUZP1","ENSG00000169641"
"gene351","HNRNPR","10236","HNRNPR","ENSG00000125944"
"gene352","ZNF436-AS1","148898","ZNF436-AS1","ENSG00000249087"
"gene353","ZNF436-AS1","148898","ZNF436-AS1","ENSG00000249087"
"gene354","ZNF436","80818","ZNF436","ENSG00000125945"
"gene355","ZNF436","80818","ZNF436","ENSG00000125945"
"gene356","TCEA3","6920","TCEA3","ENSG00000204219"
"gene357","ASAP3","55616","ASAP3","ENSG00000088280"
"gene358","E2F2","1870","E2F2","ENSG00000007968"
"gene359","MDS2","259283","MDS2","ENSG00000197880"
"gene360","RPL11","6135","RPL11","ENSG00000142676"
"gene361","TCEB3","6924","ELOA","ENSG00000011007"
"gene362","LYPLA2","11313","LYPLA2","ENSG00000011009"
"gene363","GALE","2582","GALE","ENSG00000117308"
"gene364","GALE","2582","GALE","ENSG00000117308"
"gene365","GALE","2582","GALE","ENSG00000117308"
"gene366","FUCA1","2517","FUCA1","ENSG00000179163"
"gene367","MYOM3","127294","MYOM3","ENSG00000142661"
"gene368","IFNLR1","163702","IFNLR1","ENSG00000185436"
"gene369","GRHL3","57822","GRHL3","ENSG00000158055"
"gene370","GRHL3","57822","GRHL3","ENSG00000158055"
"gene371","STPG1","90529","STPG1","ENSG00000001460"
"gene372","NIPAL3","57185","NIPAL3","ENSG00000001461"
"gene373","NIPAL3","57185","NIPAL3","ENSG00000001461"
"gene374","NIPAL3","57185","NIPAL3","ENSG00000001461"
"gene375","STPG1","90529","STPG1","ENSG00000001460"
"gene376","RCAN3","11123","RCAN3","ENSG00000117602"
"gene377","RCAN3","11123","RCAN3","ENSG00000117602"
"gene378","RCAN3AS","100750325","RCAN3AS","ENSG00000286061"
"gene379","RCAN3","11123","RCAN3","ENSG00000117602"
"gene380","NCMAP","400746","NCMAP","ENSG00000184454"
"gene381","LOC100506985","","",""
"gene382","SRRM1","10250","SRRM1","ENSG00000133226"
"gene383","SRRM1","10250","SRRM1","ENSG00000133226"
"gene384","CLIC4","25932","CLIC4","ENSG00000169504"
"gene385","RUNX3","864","RUNX3","ENSG00000020633"
"gene386","RUNX3","864","RUNX3","ENSG00000020633"
"gene387","MIR4425","100616365","MIR4425","ENSG00000264371"
"gene388","SYF2","25949","SYF2","ENSG00000117614"
"gene389","RSRP1","57035","RSRP1","ENSG00000117616"
"gene390","RSRP1","57035","RSRP1","ENSG00000117616"
"gene391","TMEM50A","23585","TMEM50A","ENSG00000183726"
"gene392","RSRP1","57035","RSRP1","ENSG00000117616"
"gene393","TMEM57","55219","MACO1","ENSG00000204178"
"gene394","MAN1C1","57134","MAN1C1","ENSG00000117643"
"gene395","SEPN1","57190","SELENON","ENSG00000162430"
"gene396","MTFR1L","56181","MTFR1L","ENSG00000117640"
"gene397","MTFR1L","56181","MTFR1L","ENSG00000117640"
"gene398","MTFR1L","56181","MTFR1L","ENSG00000117640"
"gene399","AUNIP","79000","AUNIP","ENSG00000127423"
"gene400","STMN1","3925","STMN1","ENSG00000117632"
"gene401","MIR3917","100500808","MIR3917","ENSG00000283938"
"gene402","STMN1","3925","STMN1","ENSG00000117632"
"gene403","STMN1","3925","STMN1","ENSG00000117632"
"gene404","SLC30A2","7780","SLC30A2","ENSG00000158014"
"gene405","PDIK1L","149420","PDIK1L","ENSG00000175087"
"gene406","PDIK1L","149420","PDIK1L","ENSG00000175087"
"gene407","CNKSR1","10256","CNKSR1","ENSG00000142675"
"gene408","LOC101928303","","",""
"gene409","CEP85","64793","CEP85","ENSG00000130695"
"gene410","AIM1L","55057","CRYBG2","ENSG00000176092"
"gene411","ZNF683","257101","ZNF683","ENSG00000176083"
"gene412","LIN28A","79727","LIN28A","ENSG00000131914"
"gene413","DHDDS","79947","DHDDS","ENSG00000117682"
"gene414","HMGN2","3151","HMGN2","ENSG00000198830"
"gene415","RPS6KA1","6195","RPS6KA1","ENSG00000117676"
"gene416","ARID1A","8289","ARID1A","ENSG00000117713"
"gene417","PIGV","55650","PIGV","ENSG00000060642"
"gene418","PIGV","55650","PIGV","ENSG00000060642"
"gene419","ZDHHC18","84243","ZDHHC18","ENSG00000204160"
"gene420","SFN","2810","SFN","ENSG00000175793"
"gene421","GPN2","54707","GPN2","ENSG00000142751"
"gene422","GPATCH3","63906","GPATCH3","ENSG00000198746"
"gene423","NUDC","10726","NUDC","ENSG00000090273"
"gene424","KDF1","126695","KDF1","ENSG00000175707"
"gene425","TRNP1","388610","TRNP1","ENSG00000253368"
"gene426","FAM46B","115572","TENT5B","ENSG00000158246"
"gene427","WDTC1","23038","WDTC1","ENSG00000142784"
"gene428","TMEM222","84065","TMEM222","ENSG00000186501"
"gene429","SYTL1","84958","SYTL1","ENSG00000142765"
"gene430","MAP3K6","9064","MAP3K6","ENSG00000142733"
"gene431","FCN3","8547","FCN3","ENSG00000142748"
"gene432","CD164L2","388611","CD164L2","ENSG00000174950"
"gene433","GPR3","2827","GPR3","ENSG00000181773"
"gene434","WASF2","10163","WASF2","ENSG00000158195"
"gene435","AHDC1","27245","AHDC1","ENSG00000126705"
"gene436","FGR","2268","FGR","ENSG00000000938"
"gene437","FGR","2268","FGR","ENSG00000000938"
"gene438","FGR","2268","FGR","ENSG00000000938"
"gene439","FAM76A","199870","FAM76A","ENSG00000009780"
"gene440","STX12","23673","STX12","ENSG00000117758"
"gene441","PPP1R8","5511","PPP1R8","ENSG00000117751"
"gene442","THEMIS2","9473","THEMIS2","ENSG00000130775"
"gene443","SMPDL3B","27293","SMPDL3B","ENSG00000130768"
"gene444","XKR8","55113","XKR8","ENSG00000158156"
"gene445","EYA3","2140","EYA3","ENSG00000158161"
"gene446","PTAFR","5724","PTAFR","ENSG00000169403"
"gene447","DNAJC8","22826","DNAJC8","ENSG00000126698"
"gene448","ATPIF1","93974","ATP5IF1","ENSG00000130770"
"gene449","SESN2","83667","SESN2","ENSG00000130766"
"gene450","MED18","54797","MED18","ENSG00000130772"
"gene451","PHACTR4","65979","PHACTR4","ENSG00000204138"
"gene452","SNHG3","8420","SNHG3","ENSG00000242125"
"gene453","RCC1","1104","RCC1","ENSG00000180198"
"gene454","SNORA73B","26768","SNORA73B","ENSG00000200087"
"gene455","RCC1","1104","RCC1","ENSG00000180198"
"gene456","TRNAU1AP","54952","TRNAU1AP","ENSG00000180098"
"gene457","SNORA16A","692073","SNORA16A","ENSG00000280498"
"gene458","SNHG12","85028","SNHG12","ENSG00000197989"
"gene459","RAB42","115273","RAB42","ENSG00000188060"
"gene460","RAB42","115273","RAB42","ENSG00000188060"
"gene461","TAF12","6883","TAF12","ENSG00000120656"
"gene462","RNU11","26824","RNU11","ENSG00000274978"
"gene463","GMEB1","10691","GMEB1","ENSG00000162419"
"gene464","YTHDF2","51441","YTHDF2","ENSG00000198492"
"gene465","YTHDF2","51441","YTHDF2","ENSG00000198492"
"gene466","YTHDF2","51441","YTHDF2","ENSG00000198492"
"gene467","OPRD1","4985","OPRD1","ENSG00000116329"
"gene468","EPB41","2035","EPB41","ENSG00000159023"
"gene469","EPB41","2035","EPB41","ENSG00000159023"
"gene470","TMEM200B","399474","TMEM200B","ENSG00000253304"
"gene471","TMEM200B","399474","TMEM200B","ENSG00000253304"
"gene472","SRSF4","6429","SRSF4","ENSG00000116350"
"gene473","MECR","51102","MECR","ENSG00000116353"
