,gene_symbol,entrenz_id
281,COX10-AS1,100874058
282,MIR874,100126343
283,PHC3,80012
284,STEAP1B,256227
285,MTMR8,55613
286,AC073225.1,107985953
287,LARGE1,9215
288,CD3D,915
289,LINC00893,100131434
290,AGA,175
291,TRAK1,22906
292,CCDC178,374864
293,PKN2,5586
294,OPA1,4976
295,SNW1,22938
296,DYNC2I2,89891
297,ANKRD49,54851
298,RNF19A,25897
299,EBF2,64641
300,NUP98,4928
301,LGALS2,3957
302,RIOX2,84864
303,ZNF470,388566
304,P2RY1,5028
305,CATSPERE,257044
306,SBF2,81846
307,KRT37,8688
308,PPM1A,5494
309,PTH2,113091
310,FALEC,100874054
311,GNG10,2790
312,G3BP2,9908
313,SCAMP1-AS1,728769
314,MTRF1L,54516
315,TRIL,9865
316,CCL20,6364
317,C6orf163,206412
318,RNA5S15,100169766
319,GVINP1,387751
320,C16orf86,388284
321,TOB2,10766
322,OR5AR1,219493
323,ASPRV1,151516
324,TNR,7143
325,SDAD1,55153
326,GATB,5188
327,ZNF3,7551
328,SYTL2,54843
329,OR6C6,283365
330,XPR1,9213
331,STXBP1,6812
332,PITPNC1,26207
333,MAFG,4097
334,BTBD3,22903
335,PIH1D1,55011
336,MIR6780B,102466746
337,ERC2,26059
338,COX8A,1351
339,IL36RN,26525
340,C1orf131,128061
341,RPS21,6227
342,H2BC17,8348
343,PP2D1,151649
344,APOO,79135
345,ACP3,55
346,CDH12,1010
347,AF067845.2,286083
348,CNDP2,55748
349,MRPS21,54460
350,PLAA,9373
351,TMEM198B,440104
352,LINC02288,283575
353,MIR5006,100847026
354,USE1,55850
355,ROBO2,6092
356,MIR503,574506
357,OR6P1,128366
358,OR51T1,401665
359,MIR130B,406920
360,PDXP-DT,101927051
361,RNF169,254225
362,ISY1,57461
363,DDO,8528
364,HAUS1,115106
365,TTTY8,84673
366,CT45A7,101060211
367,ST8SIA6-AS1,100128098
368,TMC6,11322
369,C19orf44,84167
370,MOSPD3,64598
371,OTUD7A,161725
372,CAPZA1,829
373,NAP1L1,4673
374,CHMP5,51510
375,TMEM14C,51522
376,GJA3,2700
377,FBN1,2200
378,ARHGAP42,143872
379,EPS8L1,54869
380,SEPTIN8,23176
381,AFAP1L1,134265
382,PPOX,5498
383,FURIN,5045
384,TSSK4,283629
385,MELTF-AS1,100507057
386,ADARB2,105
387,NBPF20,100288142
388,NMU,10874
389,GULP1,51454
390,FCRL1,115350
391,CLEC19A,728276
392,LINC01845,285627
393,TCIM,56892
394,MBD3,53615
395,AC013470.2,102725191
396,NOL6,65083
397,AC046168.1,101929457
398,MGAT2,4247
399,PFAS,5198
400,FAM30A,9834
401,TULP1,7287
402,FOXS1,2307
403,LINC00375,104355140
404,OR13D1,286365
405,DYNAP,284254
406,SCPEP1,59342
407,IFI30,10437
408,HNF4A,3172
409,DEFB106A,245909
410,ANKK1,255239
411,NRIP3,56675
412,LINC01391,103344930
413,IFIT5,24138
414,GYPA,2993
415,OST4,100128731
416,TERB1,283847
417,SP2,6668
418,B3GNTL1,146712
419,DIPK1C,125704
420,POLR2J4,84820
421,PNRC2,55629
422,SPRING1,79794
423,PLGLB2,5342
424,MTRNR2L3,100462983
425,FAM189A2,9413
426,LDHB,3945
427,RPL7L1,285855
428,TRAPPC5,126003
429,LAMC1-AS1,110841583
430,RCBTB1,55213
431,NPIPB4,440345
432,LTA4H,4048
433,TXNIP,10628
434,RFPL4B,442247
435,MIR1281,100302237
436,TRPM6,140803
437,LINC02251,105371008
438,EFNA1,1942
439,SLC7A6OS,84138
440,PCDHAC1,56135
441,SMIM3,85027
442,EHD1,10938
443,LINC00485,283432
444,APCDD1L-DT,149773
445,AC022217.2,101928093
446,GIPC2,54810
447,ERICH3-AS1,101927320
448,MIR4507,100616135
449,CPNE8,144402
450,MIR6506,102465252
451,KCNIP1,30820
452,SERPINC1,462
453,SNHG28,284677
454,CCR10,2826
