,gene_symbol,ensembl_id
14186,TMEM238L,ENSG00000263429
14187,NSRP1P1,ENSG00000235613
14188,TRAPPC2P2,ENSG00000253124
14189,WEE2,ENSG00000214102
14190,SGMS1,ENSG00000198964
14191,PSMA7,ENSG00000101182
14192,DEFB116,ENSG00000215545
14193,CSRNP1,ENSG00000144655
14194,GLP2R,ENSG00000065325
14195,MUC13,ENSG00000173702
14196,AL512656.1,ENSG00000233144
14197,PRR13P2,ENSG00000254884
14198,UBE2U,ENSG00000177414
14199,AC010285.2,ENSG00000249876
14200,AC026316.1,ENSG00000213174
14201,RFPL4AP7,ENSG00000254268
14202,TRG-AS1,ENSG00000281103
14203,AP001636.1,ENSG00000254786
14204,AL353689.3,ENSG00000287532
14205,PCDH9-AS4,ENSG00000233840
14206,MBNL3,ENSG00000076770
14207,HBS1L,ENSG00000112339
14208,FNTB,ENSG00000257365
14209,TMEM18-DT,ENSG00000233296
14210,LINC00900,ENSG00000246100
14211,MIEN1,ENSG00000141741
14212,LINC01310,ENSG00000205632
14213,PAPOLG,ENSG00000115421
14214,LCAT,ENSG00000213398
14215,AC008940.1,ENSG00000228650
14216,AL645939.1,ENSG00000225864
14217,SYS1,ENSG00000204070
14218,USP32P3,ENSG00000189423
14219,AL365436.1,ENSG00000223861
14220,AC066612.1,ENSG00000259235
14221,AC010978.1,ENSG00000235522
14222,AC142384.1,ENSG00000259882
14223,AC007511.1,ENSG00000288659
14224,METTL21C,ENSG00000139780
14225,PRODH2,ENSG00000250799
14226,GAGE2E,ENSG00000275113
14227,AC078916.1,ENSG00000287675
14228,FITM2,ENSG00000197296
14229,STRADB,ENSG00000082146
14230,AGBL2,ENSG00000165923
14231,RAB1AP2,ENSG00000217272
14232,SESN3,ENSG00000149212
14233,RPL17P33,ENSG00000243844
14234,AC114786.1,ENSG00000249763
14235,MFN1P1,ENSG00000233874
14236,ELOCP12,ENSG00000230412
14237,ZDHHC7,ENSG00000153786
14238,AL732323.1,ENSG00000225002
14239,HAR1B,ENSG00000231133
14240,DHX40,ENSG00000108406
14241,AC105233.2,ENSG00000255459
14242,RNU4-23P,ENSG00000199709
14243,AC007823.1,ENSG00000260743
14244,LINC01927,ENSG00000266312
14245,PCED1A,ENSG00000132635
14246,NAP1L4,ENSG00000205531
14247,AC109458.2,ENSG00000288008
14248,BTNL2,ENSG00000204290
14249,AP001464.1,ENSG00000229306
14250,AC243960.4,ENSG00000268582
14251,SETD2,ENSG00000181555
14252,AC048341.2,ENSG00000275180
14253,AL157712.1,ENSG00000276375
14254,AL158064.1,ENSG00000284196
14255,AC092335.1,ENSG00000250448
14256,AC091132.5,ENSG00000267246
14257,H3P43,ENSG00000226436
14258,PKD1P3,ENSG00000183458
14259,ELL2P2,ENSG00000251051
14260,PSMD12,ENSG00000197170
14261,PAQR5,ENSG00000137819
14262,LRTOMT,ENSG00000184154
14263,SPDL1,ENSG00000040275
14264,AL645929.2,ENSG00000285799
14265,ERCC6L2,ENSG00000182150
14266,AC007497.2,ENSG00000287909
14267,THAP12P8,ENSG00000223963
14268,Z98752.1,ENSG00000226143
14269,NAGPA,ENSG00000103174
14270,AL162394.1,ENSG00000234860
14271,Z97989.1,ENSG00000255389
14272,SLC30A4,ENSG00000104154
14273,AL162725.2,ENSG00000237153
14274,AC123567.1,ENSG00000257360
14275,RN7SL808P,ENSG00000240637
14276,REXO1L5P,ENSG00000277436
14277,CEACAM8,ENSG00000124469
14278,PARVG,ENSG00000138964
14279,LINC02752,ENSG00000254401
14280,PLS1-AS1,ENSG00000239641
14281,ADCY3,ENSG00000138031
14282,ASB16,ENSG00000161664
14283,AP001267.2,ENSG00000255384
14284,AL138749.1,ENSG00000226798
14285,TRRAP,ENSG00000196367
14286,,ENSG00000263293
14287,ADGRF3,ENSG00000173567
14288,FCF1P10,ENSG00000218490
14289,LINC00903,ENSG00000241397
14290,WLS,ENSG00000116729
14291,AL356489.1,ENSG00000227301
14292,SELENOKP1,ENSG00000267319
14293,RN7SL628P,ENSG00000277467
14294,PKP2,ENSG00000057294
14295,RPL21P18,ENSG00000213343
14296,LINC02541,ENSG00000230943
14297,AP5M1,ENSG00000053770
14298,AL136129.1,ENSG00000286826
14299,TEDC1,ENSG00000185347
14300,TPRX2P,ENSG00000259009
14301,CBWD6,ENSG00000215126
14302,SEC63P2,ENSG00000250416
14303,PRXL2AP1,ENSG00000257220
14304,SUSD1,ENSG00000106868
14305,MTND4P27,ENSG00000230548
14306,AC011853.1,ENSG00000254051
14307,SAGE3P,ENSG00000277486
14308,GASK1B,ENSG00000164125
14309,RPS27AP5,ENSG00000231767
14310,MTFR1L,ENSG00000117640
14311,AP001372.2,ENSG00000254837
14312,DSG2-AS1,ENSG00000264859
14313,PNLDC1,ENSG00000146453
14314,PGM1,ENSG00000079739
14315,AHCYP7,ENSG00000259465
14316,TRAF2,ENSG00000127191
14317,AL139246.3,ENSG00000228037
14318,MTND4P24,ENSG00000232177
14319,EFCAB7,ENSG00000203965
14320,DPYD-AS1,ENSG00000232878
14321,AC090151.1,ENSG00000253114
14322,AL356804.1,ENSG00000259033
14323,AC007491.1,ENSG00000283258
14324,LINC02336,ENSG00000271395
14325,AC079776.1,ENSG00000217289
14326,AP002812.4,ENSG00000255115
14327,AL773524.1,ENSG00000277869
14328,AL389915.1,ENSG00000236005
14329,USP38,ENSG00000170185
14330,SIRT4,ENSG00000089163
14331,HTR5A,ENSG00000157219
14332,RN7SL560P,ENSG00000264438
14333,ELOC,ENSG00000154582
14334,RN7SL346P,ENSG00000240470
14335,MSX1,ENSG00000163132
14336,DAB1-AS1,ENSG00000226759
14337,FCGR1B,ENSG00000198019
14338,AC097484.1,ENSG00000241853
14339,AC100821.2,ENSG00000260955
14340,SNORA47,ENSG00000238961
14341,AL356010.2,ENSG00000234464
14342,VPS33A,ENSG00000139719
14343,ZNF684,ENSG00000117010
14344,ZBTB21,ENSG00000173276
14345,AL445985.2,ENSG00000287530
14346,AC117505.1,ENSG00000257514
14347,LINC02723,ENSG00000231680
14348,S1PR3,ENSG00000213694
14349,AL137129.1,ENSG00000258964
14350,HCFC1,ENSG00000172534
14351,AL355312.1,ENSG00000216906
14352,ZNF830,ENSG00000198783
14353,AL133410.3,ENSG00000285645
14354,FOXD4L3,ENSG00000187559
14355,OR10R3P,ENSG00000198703
14356,LIMK2P1,ENSG00000223418
14357,MIR3681HG,ENSG00000224184
14358,AL591686.2,ENSG00000272865
14359,,ENSG00000277900
14360,AL157829.1,ENSG00000285820
14361,AC084035.1,ENSG00000282860
14362,SORL1,ENSG00000137642
14363,STK11,ENSG00000118046
14364,AL590483.2,ENSG00000237759
14365,AC006362.1,ENSG00000261778
14366,SPECC1L,ENSG00000100014
14367,S100PBP,ENSG00000116497
14368,AL603840.1,ENSG00000234810
14369,PHF12,ENSG00000109118
14370,UBL5P4,ENSG00000260224
14371,ELOA3,ENSG00000288631
14372,MED15P9,ENSG00000223760
14373,CHIA,ENSG00000134216
14374,SNRPGP8,ENSG00000226718
14375,CDCP1,ENSG00000163814
14376,AC108467.1,ENSG00000248744
14377,GMCL1,ENSG00000087338
14378,MYRF-AS1,ENSG00000124915
14379,TMX2P1,ENSG00000213839
14380,LINC01954,ENSG00000271952
14381,AC024619.1,ENSG00000238007
14382,AC092573.1,ENSG00000236391
14383,HOXB8,ENSG00000120068
14384,,ENSG00000253641
14385,AL035407.2,ENSG00000228687
14386,GYG2P1,ENSG00000206159
14387,AC010503.2,ENSG00000268203
14388,FUNDC2P3,ENSG00000187103
14389,AL392086.1,ENSG00000285845
14390,CALM2P2,ENSG00000229097
14391,AC132186.1,ENSG00000260146
14392,MRPS21P2,ENSG00000227425
14393,RNASE10,ENSG00000182545
14394,RABEP1,ENSG00000029725
14395,LINC01700,ENSG00000232837
14396,AC034114.1,ENSG00000253237
14397,LHX9,ENSG00000143355
14398,AC008680.1,ENSG00000253269
14399,AC005522.1,ENSG00000250614
14400,RN7SL499P,ENSG00000239202
14401,AC011939.3,ENSG00000275638
14402,Z93930.2,ENSG00000226471
14403,AL390026.1,ENSG00000236512
14404,MAP2K1P1,ENSG00000254013
14405,AC095056.1,ENSG00000250877
14406,DPYSL5,ENSG00000157851
14407,AL157938.3,ENSG00000246851
14408,AC011990.1,ENSG00000267109
14409,AC008391.1,ENSG00000285997
14410,LINC01957,ENSG00000251542
14411,OXER1,ENSG00000162881
14412,AL139021.1,ENSG00000258378
14413,ZNF517,ENSG00000197363
14414,AC005332.5,ENSG00000277476
14415,AGO4,ENSG00000134698
14416,MTND5P15,ENSG00000231888
14417,SMTNL2,ENSG00000188176
14418,AC093827.2,ENSG00000250202
14419,PART1,ENSG00000152931
14420,PCIF1,ENSG00000100982
14421,FGF19,ENSG00000162344
14422,GDI2P2,ENSG00000233994
14423,RPS27AP9,ENSG00000242706
14424,AL512770.1,ENSG00000228302
14425,HDGF,ENSG00000143321
14426,THAP12P5,ENSG00000218020
14427,AL356095.1,ENSG00000229616
14428,AL161729.4,ENSG00000271659
14429,PPT1,ENSG00000131238
14430,RN7SL229P,ENSG00000242811
14431,AC005479.2,ENSG00000270000
14432,AC076968.2,ENSG00000286069
14433,TGFB2-AS1,ENSG00000232480
14434,AC138393.1,ENSG00000185495
14435,LINC01739,ENSG00000229537
14436,TEX47,ENSG00000164645
14437,RN7SKP17,ENSG00000223174
14438,AL031599.1,ENSG00000224228
14439,AC055717.2,ENSG00000261650
14440,AC023490.2,ENSG00000277017
14441,RAB9AP2,ENSG00000223856
14442,AL139147.1,ENSG00000248458
14443,AC058822.1,ENSG00000282278
14444,PCDH18,ENSG00000189184
14445,AL138885.3,ENSG00000285759
14446,CLC,ENSG00000105205
14447,RN7SKP276,ENSG00000252051
14448,DHFRP1,ENSG00000188985
14449,SCART1,ENSG00000214279
14450,NPAS2,ENSG00000170485
14451,EIF3E,ENSG00000104408
14452,THAP12P2,ENSG00000243915
14453,RBBP4P4,ENSG00000214561
14454,AC018437.2,ENSG00000253648
14455,GLE1,ENSG00000119392
14456,AP005902.1,ENSG00000253233
14457,PAX8-AS1,ENSG00000189223
14458,GKAP1,ENSG00000165113
14459,USP47,ENSG00000170242
14460,PARP15,ENSG00000173200
14461,TGM3,ENSG00000125780
14462,SURF4,ENSG00000148248
14463,KCNAB1,ENSG00000169282
14464,RNF2P1,ENSG00000231381
14465,AP001652.1,ENSG00000255523
14466,AC007161.2,ENSG00000270314
14467,KRT17P3,ENSG00000231870
14468,AL390816.2,ENSG00000258903
14469,AL139254.2,ENSG00000284641
14470,LINC02734,ENSG00000255382
14471,AL355615.1,ENSG00000217334
14472,OR4A2P,ENSG00000227547
14473,AL356215.1,ENSG00000255521
14474,CCDC172,ENSG00000182645
14475,PCDHB8,ENSG00000120322
14476,HNRNPA1P7,ENSG00000215492
14477,ORM1,ENSG00000229314
14478,TP53TG3GP,ENSG00000261274
14479,AC022596.1,ENSG00000264729
14480,AP002414.3,ENSG00000267478
14481,AC002563.1,ENSG00000255692
14482,ADAM2,ENSG00000104755
14483,OGA,ENSG00000198408
14484,FBXO7,ENSG00000100225
14485,ME3,ENSG00000151376
14486,NUDCD2,ENSG00000170584
14487,AC126335.1,ENSG00000260986
14488,AL132800.1,ENSG00000258744
14489,MTCYBP8,ENSG00000233550
14490,AC016168.1,ENSG00000267521
14491,PNPLA6,ENSG00000032444
14492,ICAM5,ENSG00000105376
14493,OR6C70,ENSG00000184954
14494,SC5D,ENSG00000109929
14495,PEX26,ENSG00000215193
14496,OR5BL1P,ENSG00000272569
14497,SLC38A6,ENSG00000139974
14498,IGHV8-51-1,ENSG00000254167
14499,AC020765.6,ENSG00000288656
14500,MYO5B,ENSG00000167306
14501,AC110792.3,ENSG00000272650
14502,AL450467.1,ENSG00000286670
14503,MT1P1,ENSG00000213761
14504,TMEM255A,ENSG00000125355
14505,NME8,ENSG00000086288
14506,NOTCH3,ENSG00000074181
14507,ZNF208,ENSG00000160321
14508,LINC02619,ENSG00000249382
14509,AC138305.1,ENSG00000260658
14510,WBP4,ENSG00000120688
14511,SCARNA15,ENSG00000277864
14512,AC139783.2,ENSG00000250914
14513,SNORA11B,ENSG00000221102
14514,NUP35P2,ENSG00000226285
14515,AC079942.1,ENSG00000249725
14516,OR5AL1,ENSG00000272987
14517,OTX2P2,ENSG00000227134
14518,SNX5P1,ENSG00000249858
14519,AC136475.1,ENSG00000251661
14520,AC026271.3,ENSG00000265693
14521,ATP8A2P3,ENSG00000233963
14522,LPIN2,ENSG00000101577
14523,SRSF6,ENSG00000124193
14524,CENPUP2,ENSG00000258546
14525,MTCYBP41,ENSG00000254650
14526,AC096921.1,ENSG00000224618
14527,LINC01594,ENSG00000225328
14528,AL512328.1,ENSG00000244137
14529,RPS25,ENSG00000118181
14530,AL359532.1,ENSG00000272914
14531,ASNSP3,ENSG00000236554
14532,AC068792.1,ENSG00000275769
14533,SMG1P4,ENSG00000185710
14534,AC068446.1,ENSG00000237161
14535,AC010132.3,ENSG00000256646
14536,AL034548.1,ENSG00000272874
14537,AC008556.1,ENSG00000277013
14538,AC018553.3,ENSG00000287885
14539,SULT1B1,ENSG00000173597
14540,AL162400.2,ENSG00000229225
14541,MTCYBP10,ENSG00000233285
14542,ADAM20P3,ENSG00000249162
14543,IGHV3OR16-7,ENSG00000271620
14544,EPC1,ENSG00000120616
14545,RNA5SP246,ENSG00000239021
14546,RANP3,ENSG00000254500
14547,POU5F1P2,ENSG00000253382
14548,AC018809.2,ENSG00000269982
14549,TBC1D29P,ENSG00000266733
14550,SUMO2P19,ENSG00000253328
14551,AL357054.3,ENSG00000271911
14552,HHIPL2,ENSG00000143512
14553,PDLIM1P2,ENSG00000265881
14554,EMILIN3,ENSG00000183798
14555,AC097468.1,ENSG00000224090
14556,S100A1,ENSG00000160678
14557,AC008945.2,ENSG00000286271
14558,AC007406.2,ENSG00000255746
14559,SOD2P1,ENSG00000234257
14560,IGHG1,ENSG00000211896
14561,AL445933.2,ENSG00000230881
14562,DNAJA4,ENSG00000140403
14563,AC092435.2,ENSG00000248764
14564,MPP6,ENSG00000105926
14565,CPVL,ENSG00000106066
14566,TMEM127,ENSG00000135956
14567,LINC01511,ENSG00000250584
14568,AL627230.1,ENSG00000275493
14569,LINC01192,ENSG00000241369
14570,MIB1,ENSG00000101752
14571,SETBP1,ENSG00000152217
14572,AC090181.1,ENSG00000259652
14573,TPRN,ENSG00000176058
14574,AL353708.1,ENSG00000260360
14575,AL138918.1,ENSG00000260771
14576,TRBV7-2,ENSG00000282939
14577,PYGO1,ENSG00000171016
14578,ENTHD1,ENSG00000176177
14579,AF121898.1,ENSG00000253500
14580,ENOX1-AS2,ENSG00000238189
14581,MTND3P25,ENSG00000249192
14582,RN7SL625P,ENSG00000274656
14583,AC022146.2,ENSG00000271717
14584,ZNF264,ENSG00000083844
14585,SNORD15A,ENSG00000206941
14586,OR4F1P,ENSG00000220212
14587,AP001011.1,ENSG00000266049
14588,BOC,ENSG00000144857
14589,AP003472.2,ENSG00000253842
14590,AC084346.1,ENSG00000254057
14591,OR9G1,ENSG00000174914
14592,AC019186.1,ENSG00000234584
14593,RPL23AP27,ENSG00000225669
14594,AC022730.2,ENSG00000241204
14595,RSRP1,ENSG00000117616
14596,ARL4AP5,ENSG00000218996
14597,AC008897.1,ENSG00000242198
14598,COX6CP17,ENSG00000235141
14599,CAMLG,ENSG00000164615
14600,RNF103,ENSG00000239305
14601,MTREX,ENSG00000039123
14602,IL31RA,ENSG00000164509
14603,AL049734.2,ENSG00000230973
14604,LINC02652,ENSG00000237128
14605,AL157955.1,ENSG00000258407
14606,RPL12P10,ENSG00000226279
14607,CICP16,ENSG00000248213
14608,ERCC1,ENSG00000012061
14609,EEF1A1P1,ENSG00000223822
14610,TMED10P2,ENSG00000239405
14611,WIPF3,ENSG00000122574
14612,HMGN1P4,ENSG00000224040
14613,SNORA16B,ENSG00000201544
14614,AP006587.2,ENSG00000255111
14615,IFITM8P,ENSG00000215096
14616,FLII,ENSG00000177731
14617,AC007342.2,ENSG00000259962
14618,AC114730.3,ENSG00000235351
14619,LINC02326,ENSG00000257523
14620,SHB,ENSG00000107338
14621,AL133232.1,ENSG00000231604
14622,LRRC19,ENSG00000184434
14623,PRKACB,ENSG00000142875
14624,ST3GAL1,ENSG00000008513
14625,AC015849.3,ENSG00000270871
14626,AC023509.4,ENSG00000273658
14627,RNA5SP323,ENSG00000212396
14628,MAFB,ENSG00000204103
14629,CBSL,ENSG00000274276
14630,C17orf78,ENSG00000278505
14631,APOBEC3B-AS1,ENSG00000249310
14632,AL450263.1,ENSG00000228487
14633,MRPL28,ENSG00000086504
14634,AC074044.1,ENSG00000272844
14635,RPL35AP10,ENSG00000243687
14636,AC005696.1,ENSG00000262050
14637,RBMX2P5,ENSG00000227087
14638,IQCH-AS1,ENSG00000259673
14639,AC002463.1,ENSG00000223646
14640,H6PD,ENSG00000049239
14641,CYLD,ENSG00000083799
14642,ALKAL1,ENSG00000196711
14643,AC111149.2,ENSG00000253339
14644,KRT14,ENSG00000186847
14645,AKR1B10,ENSG00000198074
14646,NPM1P30,ENSG00000228219
14647,AL357375.1,ENSG00000232120
14648,EIF4BP2,ENSG00000228753
14649,RN7SKP168,ENSG00000222842
14650,DDX6P2,ENSG00000277914
14651,AC108046.1,ENSG00000287571
14652,CDH12P4,ENSG00000253900
14653,AC124861.2,ENSG00000286183
14654,PPWD1,ENSG00000113593
14655,RNF126,ENSG00000070423
14656,AC110769.3,ENSG00000279957
14657,AC244453.2,ENSG00000233029
14658,RN7SL152P,ENSG00000242102
14659,FRMD5,ENSG00000171877
14660,AL031590.1,ENSG00000284633
14661,AC003957.1,ENSG00000279825
14662,AL935212.2,ENSG00000231454
14663,RMC1,ENSG00000141452
14664,AC024579.1,ENSG00000251044
14665,CD33,ENSG00000105383
14666,HSD3BP3,ENSG00000249798
14667,RSL24D1P2,ENSG00000230595
14668,AC120114.4,ENSG00000281348
14669,HSPA1L,ENSG00000204390
14670,AF165147.1,ENSG00000232855
14671,ZNF239,ENSG00000196793
14672,AC104837.2,ENSG00000238015
14673,GNAZ,ENSG00000128266
14674,MYOM2,ENSG00000036448
14675,AC024587.2,ENSG00000249959
14676,FP236383.5,ENSG00000281181
14677,AKR1B15,ENSG00000227471
14678,AC009227.1,ENSG00000224675
14679,ORC1P1,ENSG00000224589
14680,PSAT1P1,ENSG00000253810
14681,SCHLAP1,ENSG00000281131
14682,AL121672.3,ENSG00000273289
14683,PACRGL,ENSG00000163138
14684,OR5M7P,ENSG00000254490
14685,PHLDB2,ENSG00000144824
14686,CBX3P2,ENSG00000266405
14687,KIAA0040,ENSG00000235750
14688,AC011611.2,ENSG00000257329
14689,AL031777.2,ENSG00000282988
14690,IGKV3D-31,ENSG00000253999
14691,AC013401.2,ENSG00000278406
14692,MAPK13,ENSG00000156711
14693,TG,ENSG00000042832
14694,RPL22P16,ENSG00000213935
14695,SNHG19,ENSG00000260260
14696,IGHVIII-67-4,ENSG00000254052
14697,AGFG1,ENSG00000173744
14698,AL512638.3,ENSG00000287103
14699,SCAI,ENSG00000173611
14700,AUH,ENSG00000148090
14701,AL355472.2,ENSG00000236358
14702,H3-2,ENSG00000273213
14703,RPS3AP20,ENSG00000213757
14704,FAM182B,ENSG00000175170
14705,LINC01257,ENSG00000204603
14706,CD81,ENSG00000110651
14707,KRTAP29-1,ENSG00000212658
14708,RN7SL606P,ENSG00000239932
14709,BARX2,ENSG00000043039
14710,MICOS10P2,ENSG00000270714
14711,AC010333.2,ENSG00000259899
14712,AL358790.1,ENSG00000282772
14713,TMIGD1,ENSG00000182271
14714,GSTA2,ENSG00000244067
14715,AL118556.1,ENSG00000259113
14716,MTCO3P20,ENSG00000225557
14717,CHURC1-FNTB,ENSG00000125954
14718,CARD6,ENSG00000132357
14719,PFN1P3,ENSG00000234367
14720,OSTM1,ENSG00000081087
14721,RNU6-552P,ENSG00000199739
14722,LINC01543,ENSG00000263862
14723,LINC01423,ENSG00000231231
14724,BNIP3P38,ENSG00000268469
14725,AL359502.2,ENSG00000286544
14726,MINPP1,ENSG00000107789
14727,AC112715.1,ENSG00000224132
14728,AP001198.2,ENSG00000267286
14729,AC068888.1,ENSG00000257337
14730,MIR497HG,ENSG00000267532
14731,DIRAS3,ENSG00000162595
14732,MTND3P7,ENSG00000240824
14733,SNRPCP2,ENSG00000251235
14734,AC022915.1,ENSG00000253455
14735,AC133561.3,ENSG00000261197
14736,OVGP1,ENSG00000085465
14737,USP22,ENSG00000124422
14738,AC034198.2,ENSG00000272263
14739,PRMT5P1,ENSG00000249004
14740,FUS,ENSG00000089280
14741,AC110491.2,ENSG00000279658
14742,AL133456.1,ENSG00000224027
14743,LINC01986,ENSG00000223587
14744,LINC01641,ENSG00000234277
14745,SELENOTP2,ENSG00000271585
14746,DHFR,ENSG00000228716
14747,DGCR6L,ENSG00000128185
14748,LINC01004,ENSG00000228393
14749,BMS1P2,ENSG00000251079
14750,OR6K6,ENSG00000180433
14751,BCRP1,ENSG00000225098
14752,EDDM3CP,ENSG00000234060
14753,PGM2L1,ENSG00000165434
14754,AL445933.1,ENSG00000230638
14755,PLK1,ENSG00000166851
14756,AC023024.2,ENSG00000279970
14757,AC008870.2,ENSG00000260751
14758,RPL37P4,ENSG00000230198
14759,CHD6,ENSG00000124177
14760,AC004066.1,ENSG00000250522
14761,ARHGAP35,ENSG00000160007
14762,LINC02793,ENSG00000285823
14763,NR4A3,ENSG00000119508
14764,RNPEP,ENSG00000176393
14765,LNCAROD,ENSG00000231131
14766,AL356585.2,ENSG00000279124
14767,BX322650.1,ENSG00000183171
14768,AC084018.3,ENSG00000286586
14769,AC103706.1,ENSG00000261220
14770,TRBV28,ENSG00000211753
14771,SNAI1,ENSG00000124216
14772,GNE,ENSG00000159921
14773,AC073610.1,ENSG00000239617
14774,AL022331.1,ENSG00000236132
14775,KRT3,ENSG00000186442
14776,AC137803.1,ENSG00000277770
14777,AL645638.1,ENSG00000232576
14778,AL731567.1,ENSG00000231964
14779,KIF4CP,ENSG00000225025
14780,SNORA70H,ENSG00000206637
14781,DAPP1,ENSG00000070190
14782,RPS20P31,ENSG00000240925
14783,LUARIS,ENSG00000231638
14784,PABPC1P9,ENSG00000229658
14785,RN7SL259P,ENSG00000241082
14786,AC090510.3,ENSG00000278769
14787,VN1R90P,ENSG00000268794
14788,LYPD4,ENSG00000273111
14789,CCDC74BP1,ENSG00000250261
14790,RAB2A,ENSG00000104388
14791,TEKT5,ENSG00000153060
14792,AC009474.1,ENSG00000230355
14793,U73479.1,ENSG00000275681
14794,FBXO9,ENSG00000112146
14795,ARID3A,ENSG00000116017
14796,AC004381.3,ENSG00000283399
14797,LINC02659,ENSG00000236769
14798,OR10J8P,ENSG00000251686
14799,CCT6B,ENSG00000132141
14800,AC138915.2,ENSG00000260866
14801,AC211476.3,ENSG00000275976
14802,AC120024.3,ENSG00000271340
14803,MTND4LP16,ENSG00000234731
14804,AP001284.1,ENSG00000254471
14805,RPL21P39,ENSG00000239797
14806,OR52L1,ENSG00000183313
14807,NOMO1,ENSG00000103512
14808,AC116609.1,ENSG00000223751
14809,COL18A1-AS2,ENSG00000224574
14810,MEP1A,ENSG00000112818
14811,ZRANB2,ENSG00000132485
14812,OSBPL10,ENSG00000144645
14813,RNVU1-2A,ENSG00000278099
14814,OR52Y1P,ENSG00000231070
14815,GORASP1,ENSG00000114745
14816,AC020728.1,ENSG00000271410
14817,KRTAP1-3,ENSG00000221880
14818,KMT5A,ENSG00000183955
14819,ATP5MGP3,ENSG00000249256
14820,GOLGB1,ENSG00000173230
14821,MAGEA2,ENSG00000268606
14822,AP006219.2,ENSG00000286499
14823,PLIN3,ENSG00000105355
14824,CWC15,ENSG00000150316
14825,AL133372.3,ENSG00000257904
14826,CDRT15P14,ENSG00000230804
14827,ANKRD20A11P,ENSG00000215559
14828,AL358075.3,ENSG00000233114
14829,FBP1,ENSG00000165140
14830,AC097358.2,ENSG00000272202
14831,FAM72B,ENSG00000188610
14832,CROCCP1,ENSG00000225769
14833,BAG5,ENSG00000166170
14834,CEACAMP11,ENSG00000236123
14835,MRPS18A,ENSG00000096080
14836,NAV2-AS1,ENSG00000254894
14837,AC007485.2,ENSG00000279059
14838,PRSS21,ENSG00000007038
14839,RPL23AP19,ENSG00000229716
14840,AL138752.2,ENSG00000255872
14841,GOT2,ENSG00000125166
14842,CFTRP3,ENSG00000204555
14843,PLXDC1,ENSG00000161381
14844,KPNA5,ENSG00000196911
14845,ATP5PBP4,ENSG00000214025
14846,RNU4-62P,ENSG00000222057
14847,AC023669.1,ENSG00000229459
14848,AP000438.1,ENSG00000257002
14849,AC089999.1,ENSG00000257286
14850,ARMCX1,ENSG00000126947
14851,RNA5SP202,ENSG00000201185
14852,SUN3,ENSG00000164744
14853,AL357093.2,ENSG00000258752
14854,BCRP9,ENSG00000271287
14855,B3GNT5,ENSG00000176597
14856,AC007450.4,ENSG00000278654
14857,AC009063.1,ENSG00000259914
14858,AC055764.1,ENSG00000234136
14859,AC078846.1,ENSG00000273329
14860,AL157702.2,ENSG00000227482
14861,RN7SL670P,ENSG00000264041
14862,TREX2,ENSG00000183479
14863,RBMXL3,ENSG00000175718
14864,SPRED2,ENSG00000198369
14865,TAPBPL,ENSG00000139192
14866,TPMT,ENSG00000137364
14867,AC092953.1,ENSG00000244346
14868,GRAMD4P8,ENSG00000270930
14869,AC009097.3,ENSG00000260612
14870,SORD,ENSG00000140263
14871,AC093802.2,ENSG00000259889
14872,AL139232.1,ENSG00000287705
14873,TMC5,ENSG00000103534
14874,MTATP6P27,ENSG00000234003
14875,HMGN2P13,ENSG00000241810
14876,AP000282.1,ENSG00000227757
14877,C11orf98,ENSG00000278615
14878,AC109927.1,ENSG00000250195
14879,AC083973.1,ENSG00000253408
14880,ASCC3,ENSG00000112249
14881,AC234644.1,ENSG00000226045
14882,AC018695.2,ENSG00000269898
14883,,ENSG00000274510
14884,AC092192.1,ENSG00000282535
14885,LINC00710,ENSG00000229240
14886,GBA2,ENSG00000070610
14887,AC091564.2,ENSG00000254400
14888,GRAMD1A,ENSG00000089351
14889,GSX2,ENSG00000180613
14890,AC233702.2,ENSG00000263375
14891,AC092121.1,ENSG00000261144
14892,APTX,ENSG00000137074
14893,AC006213.6,ENSG00000278917
14894,AC141586.5,ENSG00000279162
14895,TPRG1-AS2,ENSG00000230115
14896,USP36,ENSG00000055483
14897,LINC00562,ENSG00000260388
14898,DNAJA2,ENSG00000069345
14899,PPAN,ENSG00000130810
14900,UBE3AP2,ENSG00000228941
14901,SLC25A5P6,ENSG00000213332
14902,SPINK4,ENSG00000122711
14903,AC078980.1,ENSG00000242029
14904,CPSF4L,ENSG00000187959
14905,DIAPH3,ENSG00000139734
14906,AC005911.1,ENSG00000278356
14907,PSME2P1,ENSG00000238000
14908,NMT2,ENSG00000152465
14909,GNG7,ENSG00000176533
14910,AC239859.2,ENSG00000223495
14911,BRI3,ENSG00000164713
14912,GPC2,ENSG00000213420
14913,FRG2KP,ENSG00000261741
14914,RN7SL731P,ENSG00000264501
14915,RAB3GAP1,ENSG00000115839
14916,GKN3P,ENSG00000283586
14917,AC124068.2,ENSG00000261441
14918,LINC02640,ENSG00000233590
14919,MTND1P8,ENSG00000263177
14920,TRIM26BP,ENSG00000236475
14921,AC018448.2,ENSG00000257586
14922,MTND5P18,ENSG00000227860
14923,CYP4X1,ENSG00000186377
14924,ADAMTS14,ENSG00000138316
14925,AL450338.2,ENSG00000288021
14926,AC104806.2,ENSG00000250075
14927,LINC01119,ENSG00000239332
14928,CCDC106,ENSG00000173581
14929,ZNF662,ENSG00000182983
14930,DNAJB6P1,ENSG00000254612
14931,HS3ST1,ENSG00000002587
14932,OR5M10,ENSG00000254834
