"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol121","LINC02419","ENSG00000256906","",""
"gene_symbol122","AC006435.3","ENSG00000274758","",""
"gene_symbol123","FO393415.1","ENSG00000219758","",""
"gene_symbol124","Z68694.1","ENSG00000224692","",""
"gene_symbol125","IGLV8-61","ENSG00000211638","28774","IGLV8-61"
"gene_symbol126","AC114811.2","ENSG00000260641","",""
"gene_symbol127","TLX1","ENSG00000107807","3195","TLX1"
"gene_symbol128","LEXM","ENSG00000162398","163747","LEXM"
"gene_symbol129","AC083923.1","ENSG00000253543","",""
"gene_symbol130","EIF4HP1","ENSG00000233830","",""
"gene_symbol131","AC087518.1","ENSG00000253381","",""
"gene_symbol132","AC124283.5","ENSG00000279613","",""
"gene_symbol133","GJD4","ENSG00000177291","219770","GJD4"
